,Level1,Level2,Level3,Level4,Total
772,1993-1996,8,Learning Many Related Tasks at the Same Time with Backpropagation,Learning Model Bias,1
773,2002-2005,9,Infinite latent feature models and the Indian buffet process,Modeling Dyadic Data with Binary Latent Factors,1
774,2002-2005,9,Infinite latent feature models and the Indian buffet process,A Nonparametric Bayesian Method for Inferring Features From Similarity Judgments,1
775,2002-2005,9,Infinite latent feature models and the Indian buffet process,Particle Filtering for Nonparametric Bayesian Matrix Factorization,1
776,2002-2005,9,Infinite latent feature models and the Indian buffet process,The Infinite Gamma-Poisson Feature Model,1
777,2002-2005,9,Infinite latent feature models and the Indian buffet process,Analyzing human feature learning as nonparametric Bayesian inference,1
778,2002-2005,9,Infinite latent feature models and the Indian buffet process,Indian Buffet Processes with Power-law Behavior,1
779,2002-2005,9,Infinite latent feature models and the Indian buffet process,Large Scale Nonparametric Bayesian Inference: Data Parallelisation in the Indian Buffet Process,1
780,2002-2005,9,Infinite latent feature models and the Indian buffet process,Sharing Features among Dynamical Systems with Beta Processes,1
781,2002-2005,9,Infinite latent feature models and the Indian buffet process,Construction of Nonparametric Bayesian Models from Parametric Bayes Equations,1
782,2002-2005,9,Infinite latent feature models and the Indian buffet process,Bayesian Nonparametric Models on Decomposable Graphs,1
783,2002-2005,9,Infinite latent feature models and the Indian buffet process,Learning invariant features using the Transformed Indian Buffet Process,1
784,2002-2005,9,Infinite latent feature models and the Indian buffet process,The Kernel Beta Process,1
785,2002-2005,9,Infinite latent feature models and the Indian buffet process,Inferring Interaction Networks using the IBP applied to microRNA Target Prediction,1
786,2002-2005,9,Infinite latent feature models and the Indian buffet process,Infinite Latent SVM for Classification and Multi-task Learning,1
787,2002-2005,9,Infinite latent feature models and the Indian buffet process,Truncation-free Online Variational Inference for Bayesian Nonparametric Models,1
788,2002-2005,9,Infinite latent feature models and the Indian buffet process,Nonparametric Max-Margin Matrix Factorization for Collaborative Prediction,1
789,2002-2005,9,Infinite latent feature models and the Indian buffet process,Effective Split-Merge Monte Carlo Methods for Nonparametric Models of Sequential Data,1
790,2002-2005,9,Infinite latent feature models and the Indian buffet process,Augment-and-Conquer Negative Binomial Processes,1
791,2002-2005,9,Infinite latent feature models and the Indian buffet process,Factorial LDA: Sparse Multi-Dimensional Text Models,1
792,2002-2005,9,Infinite latent feature models and the Indian buffet process,Joint Modeling of a Matrix with Associated Text via Latent Binary Features,1
793,2002-2005,9,Infinite latent feature models and the Indian buffet process,Bayesian nonparametric models for bipartite graphs,1
794,2002-2005,9,Infinite latent feature models and the Indian buffet process,Restricting exchangeable nonparametric distributions,1
795,2002-2005,9,Infinite latent feature models and the Indian buffet process,Efficient Online Inference for Bayesian Nonparametric Relational Models,1
796,2002-2005,9,Infinite latent feature models and the Indian buffet process,Beta-Negative Binomial Process and Exchangeable ?Random Partitions for Mixed-Membership Modeling,1
797,2002-2005,9,Infinite latent feature models and the Indian buffet process,"Streaming, Distributed Variational Inference for Bayesian Nonparametrics",1
798,2002-2005,9,Infinite latent feature models and the Indian buffet process,Finite-Dimensional BFRY Priors and Variational Bayesian Inference for Power Law Models,1
799,2005-2008,10,Infinite latent feature models and the Indian buffet process,Modeling Dyadic Data with Binary Latent Factors,1
800,2005-2008,10,Infinite latent feature models and the Indian buffet process,A Nonparametric Bayesian Method for Inferring Features From Similarity Judgments,1
801,2005-2008,10,Infinite latent feature models and the Indian buffet process,Particle Filtering for Nonparametric Bayesian Matrix Factorization,1
802,2005-2008,10,Infinite latent feature models and the Indian buffet process,The Infinite Gamma-Poisson Feature Model,1
803,2005-2008,10,Infinite latent feature models and the Indian buffet process,Analyzing human feature learning as nonparametric Bayesian inference,1
804,2005-2008,10,Infinite latent feature models and the Indian buffet process,Indian Buffet Processes with Power-law Behavior,1
805,2005-2008,10,Infinite latent feature models and the Indian buffet process,Large Scale Nonparametric Bayesian Inference: Data Parallelisation in the Indian Buffet Process,1
806,2005-2008,10,Infinite latent feature models and the Indian buffet process,Sharing Features among Dynamical Systems with Beta Processes,1
807,2005-2008,10,Infinite latent feature models and the Indian buffet process,Construction of Nonparametric Bayesian Models from Parametric Bayes Equations,1
808,2005-2008,10,Infinite latent feature models and the Indian buffet process,Bayesian Nonparametric Models on Decomposable Graphs,1
809,2005-2008,10,Infinite latent feature models and the Indian buffet process,Learning invariant features using the Transformed Indian Buffet Process,1
810,2005-2008,10,Infinite latent feature models and the Indian buffet process,The Kernel Beta Process,1
811,2005-2008,10,Infinite latent feature models and the Indian buffet process,Inferring Interaction Networks using the IBP applied to microRNA Target Prediction,1
812,2005-2008,10,Infinite latent feature models and the Indian buffet process,Infinite Latent SVM for Classification and Multi-task Learning,1
813,2005-2008,10,Infinite latent feature models and the Indian buffet process,Truncation-free Online Variational Inference for Bayesian Nonparametric Models,1
814,2005-2008,10,Infinite latent feature models and the Indian buffet process,Nonparametric Max-Margin Matrix Factorization for Collaborative Prediction,1
815,2005-2008,10,Infinite latent feature models and the Indian buffet process,Effective Split-Merge Monte Carlo Methods for Nonparametric Models of Sequential Data,1
816,2005-2008,10,Infinite latent feature models and the Indian buffet process,Augment-and-Conquer Negative Binomial Processes,1
817,2005-2008,10,Infinite latent feature models and the Indian buffet process,Factorial LDA: Sparse Multi-Dimensional Text Models,1
818,2005-2008,10,Infinite latent feature models and the Indian buffet process,Joint Modeling of a Matrix with Associated Text via Latent Binary Features,1
819,2005-2008,10,Infinite latent feature models and the Indian buffet process,Bayesian nonparametric models for bipartite graphs,1
820,2005-2008,10,Infinite latent feature models and the Indian buffet process,Restricting exchangeable nonparametric distributions,1
821,2005-2008,10,Infinite latent feature models and the Indian buffet process,Efficient Online Inference for Bayesian Nonparametric Relational Models,1
822,2005-2008,10,Infinite latent feature models and the Indian buffet process,Beta-Negative Binomial Process and Exchangeable ?Random Partitions for Mixed-Membership Modeling,1
823,2005-2008,10,Infinite latent feature models and the Indian buffet process,"Streaming, Distributed Variational Inference for Bayesian Nonparametrics",1
824,2005-2008,10,Infinite latent feature models and the Indian buffet process,Finite-Dimensional BFRY Priors and Variational Bayesian Inference for Power Law Models,1
825,2008-2011,11,Efficient Minimization of Decomposable Submodular Functions,From MAP to Marginals: Variational Inference in Bayesian Submodular Models,1
826,2008-2011,11,Efficient Minimization of Decomposable Submodular Functions,Cooperative Graphical Models,1
827,1990-1993,12,Training Neural Networks with Deficient Data,Combining Estimators Using Non-Constant Weighting Functions,1
828,1990-1993,12,Training Neural Networks with Deficient Data,Efficient Methods for Dealing with Missing Data in Supervised Learning,1
829,1993-1996,13,Training Neural Networks with Deficient Data,Combining Estimators Using Non-Constant Weighting Functions,1
830,1993-1996,13,Training Neural Networks with Deficient Data,Efficient Methods for Dealing with Missing Data in Supervised Learning,1
831,1987-1990,0,A Programmable Analog Neural Computer and Simulator,A Reconfigurable Analog VLSI Neural Network Chip,1
832,2008-2011,1,An LP View of the M-best MAP problem,Maximum Margin Multi-Label Structured Prediction,1
833,2008-2011,1,An LP View of the M-best MAP problem,Multiple Choice Learning: Learning to Produce Multiple Structured Outputs,1
834,2008-2011,2,Why The Brain Separates Face Recognition From Object Recognition,Learning invariant representations and applications to face verification,1
835,2011-2014,3,Why The Brain Separates Face Recognition From Object Recognition,Learning invariant representations and applications to face verification,1
836,2011-2014,4,Optimal Neural Codes for Control and Estimation,A Tractable Approximation to Optimal Point Process Filtering: Application to Neural Encoding,1
837,2014-2017,5,Optimal Neural Codes for Control and Estimation,A Tractable Approximation to Optimal Point Process Filtering: Application to Neural Encoding,1
838,2002-2005,6,Saliency Based on Information Maximization,Graph-Based Visual Saliency,1
839,2002-2005,6,Saliency Based on Information Maximization,Dynamic visual attention: searching for coding length increments,1
840,2005-2008,7,Saliency Based on Information Maximization,Graph-Based Visual Saliency,1
841,2005-2008,7,Saliency Based on Information Maximization,Dynamic visual attention: searching for coding length increments,1
842,1993-1996,8,A Variational Principle for Model-based Morphing,Example-Based Image Synthesis of Articulated Figures,1
843,1996-1999,9,A Variational Principle for Model-based Morphing,Example-Based Image Synthesis of Articulated Figures,1
844,2008-2011,10,A concave regularization technique for sparse mixture models,On Algorithms for Sparse Multi-factor NMF,1
845,2011-2014,11,A concave regularization technique for sparse mixture models,On Algorithms for Sparse Multi-factor NMF,1
846,2008-2011,12,Neural Implementation of Hierarchical Bayesian Inference by Importance Sampling,Rational inference of relative preferences,1
847,2002-2005,13,Approximate Policy Iteration with a Policy Language Bias,Approximate Dynamic Programming Finally Performs Well in the Game of Tetris,1
848,1999-2002,0,Sampling Techniques for Kernel Methods,Hierarchical Eigensolver for Transition Matrices in Spectral Methods,1
849,1999-2002,0,Sampling Techniques for Kernel Methods,QUIC-SVD: Fast SVD Using Cosine Trees,1
850,2002-2005,1,Online Learning of Non-stationary Sequences,Nearly Tight Bounds for the Continuum-Armed Bandit Problem,1
851,2011-2014,2,Robust learning of low-dimensional dynamics from large neural ensembles,Clustered factor analysis of multineuronal spike data,1
852,2008-2011,3,Random Projections for ,Random Projection Trees Revisited,1
853,2008-2011,3,Random Projections for ,Quantized Random Projections and Non-Linear Estimation of Cosine Similarity,1
854,1990-1993,4,Reinforcement Learning Applied to Linear Quadratic Regulation,Advantage Updating Applied to a Differential Game,1
855,2011-2014,5,Clustered factor analysis of multineuronal spike data,High-dimensional neural spike train analysis with generalized count linear dynamical systems,1
856,2014-2017,6,Clustered factor analysis of multineuronal spike data,High-dimensional neural spike train analysis with generalized count linear dynamical systems,1
857,2011-2014,7,Sequence to Sequence Learning with Neural Networks,"Parallel Multi-Dimensional LSTM, With Application to Fast Biomedical Volumetric Image Segmentation",1
858,2014-2017,8,Sequence to Sequence Learning with Neural Networks,"Parallel Multi-Dimensional LSTM, With Application to Fast Biomedical Volumetric Image Segmentation",1
859,2011-2014,9,A Safe Screening Rule for Sparse Logistic Regression,Regularization Path of Cross-Validation Error Lower Bounds,1
860,2014-2017,10,A Safe Screening Rule for Sparse Logistic Regression,Regularization Path of Cross-Validation Error Lower Bounds,1
861,1987-1990,11,Skeletonization: A Technique for Trimming the Fat from a Network via Relevance Assessment,Optimal Brain Damage,1
862,1993-1996,12,A Practical Monte Carlo Implementation of Bayesian Learning,Gaussian Processes for Regression,1
863,2008-2011,13,Selecting Receptive Fields in Deep Networks,Convolutional Neural Networks on Graphs with Fast Localized Spectral Filtering,1
864,2011-2014,0,Selecting Receptive Fields in Deep Networks,Convolutional Neural Networks on Graphs with Fast Localized Spectral Filtering,1
865,2008-2011,1,Free energy score space,Documents as multiple overlapping windows into grids of counts,1
866,1987-1990,2,An Optimality Principle for Unsupervised Learning,Unsupervised Learning of Mixtures of Multiple Causes in Binary Data,1
867,2008-2011,3,Ensemble Nystrom Method,Less is More: Nystr?m Computational Regularization,1
868,2014-2017,4,Optimal Tagging with Markov Chain Optimization,The Power of Optimization from Samples,1
869,1990-1993,5,Non-Linear Dimensionality Reduction,MLLE: Modified Locally Linear Embedding Using Multiple Weights,1
870,2005-2008,6,Estimating divergence functionals and the likelihood ratio by penalized convex risk minimization,Convex Multiple-Instance Learning by Estimating Likelihood Ratio,1
871,1993-1996,7,Separating Style and Content,Using matrices to model symbolic relationship,1
872,1993-1996,7,Separating Style and Content,What Are the Invariant Occlusive Components of Image Patches? A Probabilistic Generative Approach,1
873,1996-1999,8,Separating Style and Content,Using matrices to model symbolic relationship,1
874,1996-1999,8,Separating Style and Content,What Are the Invariant Occlusive Components of Image Patches? A Probabilistic Generative Approach,1
875,1999-2002,9,Motivated Reinforcement Learning,Reward Design via Online Gradient Ascent,1
876,2005-2008,10,Continuously-adaptive discretization for message-passing algorithms,Particle-based Variational Inference for Continuous Systems,1
877,2008-2011,11,Continuously-adaptive discretization for message-passing algorithms,Particle-based Variational Inference for Continuous Systems,1
878,2005-2008,12,Towards a general independent subspace analysis,A Kernel Statistical Test of Independence,1
879,2005-2008,13,Learning and using relational theories,Abstraction and Relational learning,1
880,2005-2008,13,Learning and using relational theories,Quantification and the language of thought,1
881,2005-2008,0,Statistical Analysis of Semi-Supervised Regression,Statistical Analysis of Semi-Supervised Learning: The Limit of Infinite Unlabelled Data,1
882,2008-2011,1,Submanifold density estimation,Learning Probability Measures with respect to Optimal Transport Metrics,1
883,2011-2014,2,The Noisy Power Method: A Meta Algorithm with Applications,A Non-convex One-Pass Framework for Generalized Factorization Machine and Rank-One Matrix Sensing,1
884,2014-2017,3,The Noisy Power Method: A Meta Algorithm with Applications,A Non-convex One-Pass Framework for Generalized Factorization Machine and Rank-One Matrix Sensing,1
885,2002-2005,4,Warped Gaussian Processes,Heavy-Tailed Process Priors for Selective Shrinkage,1
886,2002-2005,4,Warped Gaussian Processes,Copula Processes,1
887,2002-2005,4,Warped Gaussian Processes,Implicitly Constrained Gaussian Process Regression for Monocular Non-Rigid Pose Estimation,1
888,1999-2002,5,Online Learning with Kernels,Dual Space Gradient Descent for Online Learning,1
889,2002-2005,6,Non-linear CCA and PCA by Alignment of Local Models,The Infinite Hierarchical Factor Regression Model,1
890,2002-2005,7,Correlated Topic Models,Sparse Overcomplete Latent Variable Decomposition of Counts Data,1
891,2005-2008,8,Correlated Topic Models,Sparse Overcomplete Latent Variable Decomposition of Counts Data,1
892,2008-2011,9,Noisy Generalized Binary Search,Active Learning for Probabilistic Hypotheses Using the Maximum Gibbs Error Criterion,1
893,2011-2014,10,Priors for Diversity in Generative Latent Variable Models,Expectation-Maximization for Learning Determinantal Point Processes,1
894,2002-2005,11,Learning in Silicon: Timing is Everything,An in-silico Neural Model of Dynamic Routing through Neuronal Coherence,1
895,2005-2008,12,Learning in Silicon: Timing is Everything,An in-silico Neural Model of Dynamic Routing through Neuronal Coherence,1
896,2005-2008,13,Near-optimal Regret Bounds for Reinforcement Learning,Sample Complexity of Episodic Fixed-Horizon Reinforcement Learning,1
897,2008-2011,0,Near-optimal Regret Bounds for Reinforcement Learning,Sample Complexity of Episodic Fixed-Horizon Reinforcement Learning,1
898,2005-2008,1,Using matrices to model symbolic relationship,"Interaction Networks for Learning about Objects, Relations and Physics",1
899,2008-2011,2,Using matrices to model symbolic relationship,"Interaction Networks for Learning about Objects, Relations and Physics",1
900,1993-1996,3,GTM: A Principled Alternative to the Self-Organizing Map,Limitations of Self-organizing Maps for Vector Quantization and Multidimensional Scaling,1
901,1996-1999,4,GTM: A Principled Alternative to the Self-Organizing Map,Limitations of Self-organizing Maps for Vector Quantization and Multidimensional Scaling,1
902,1996-1999,5,Recognizing Evoked Potentials in a Virtual Environment,Classifying Single Trial EEG: Towards Brain Computer Interfacing,1
903,1999-2002,6,Recognizing Evoked Potentials in a Virtual Environment,Classifying Single Trial EEG: Towards Brain Computer Interfacing,1
904,1993-1996,7,Computing with Infinite Networks,Mean Field Methods for Classification with Gaussian Processes,1
905,1993-1996,7,Computing with Infinite Networks,General Bounds on Bayes Errors for Regression with Gaussian Processes,1
906,1993-1996,7,Computing with Infinite Networks,Learning Curves for Gaussian Processes Regression: A Framework for Good Approximations,1
907,1993-1996,7,Computing with Infinite Networks,Computing with Finite and Infinite Networks,1
908,1996-1999,8,Computing with Infinite Networks,Mean Field Methods for Classification with Gaussian Processes,1
909,1996-1999,8,Computing with Infinite Networks,General Bounds on Bayes Errors for Regression with Gaussian Processes,1
910,1996-1999,8,Computing with Infinite Networks,Learning Curves for Gaussian Processes Regression: A Framework for Good Approximations,1
911,1996-1999,8,Computing with Infinite Networks,Computing with Finite and Infinite Networks,1
912,2002-2005,9,Information Bottleneck for Gaussian Variables,Receptive Fields without Spike-Triggering,1
913,2005-2008,10,Accelerated Variational Dirichlet Process Mixtures,Analysis of Brain States from Multi-Region LFP Time-Series,1
914,1999-2002,11,Generalized Belief Propagation,High-temperature Expansions for Learning Models of Nonnegative Data,1
915,1999-2002,11,Generalized Belief Propagation,Active Information Retrieval,1
916,1999-2002,11,Generalized Belief Propagation,"TAP Gibbs Free Energy, Belief Propagation and Sparsity",1
917,1999-2002,11,Generalized Belief Propagation,The g Factor: Relating Distributions on Features to Distributions on Images,1
918,1999-2002,11,Generalized Belief Propagation,Local Algorithms for Approximate Inference in Minor-Excluded Graphs,1
919,1999-2002,11,Generalized Belief Propagation,Message Passing for Max-weight Independent Set,1
920,1999-2002,11,Generalized Belief Propagation,Minimization of Continuous Bethe Approximations: A Positive Variation,1
921,2011-2014,12,Linear decision rule as aspiration for simple decision heuristics,Learning From Small Samples: An Analysis of Simple Decision Heuristics,1
922,2008-2011,13,How Do Humans Teach: On Curriculum Learning and Teaching Dimension,Optimal Teaching for Limited-Capacity Human Learners,1
923,2011-2014,0,How Do Humans Teach: On Curriculum Learning and Teaching Dimension,Optimal Teaching for Limited-Capacity Human Learners,1
924,2011-2014,1,Learning Networks of Heterogeneous Influence,Learning Influence Functions from Incomplete Observations,1
925,2008-2011,2,Learning a Distance Metric from a Network,On Graph Reconstruction via Empirical Risk Minimization: Fast Learning Rates and Scalability,1
926,2011-2014,3,Learning a Distance Metric from a Network,On Graph Reconstruction via Empirical Risk Minimization: Fast Learning Rates and Scalability,1
927,1999-2002,4,Automatic Alignment of Local Representations,Adaptive Manifold Learning,1
928,2002-2005,5,Automatic Alignment of Local Representations,Adaptive Manifold Learning,1
929,1999-2002,6,A kernel method for multi-labelled classification,Reverse Multi-Label Learning,1
930,1999-2002,6,A kernel method for multi-labelled classification,Transduction with Matrix Completion: Three Birds with One Stone,1
931,1999-2002,6,A kernel method for multi-labelled classification,Sparse Bayesian Multi-Task Learning,1
932,1999-2002,6,A kernel method for multi-labelled classification,Feature-aware Label Space Dimension Reduction for Multi-label Classification,1
933,1999-2002,7,Semi-supervised MarginBoost,Regularized Boost for Semi-Supervised Learning,1
934,2008-2011,8,Variational Gaussian Process Dynamical Systems,Phoneme Classification using Constrained Variational Gaussian Process Dynamical System,1
935,2011-2014,9,Variational Gaussian Process Dynamical Systems,Phoneme Classification using Constrained Variational Gaussian Process Dynamical System,1
936,1999-2002,10,Manifold Parzen Windows,Submanifold density estimation,1
937,1999-2002,10,Manifold Parzen Windows,Learning Probability Measures with respect to Optimal Transport Metrics,1
938,2002-2005,11,Manifold Parzen Windows,Submanifold density estimation,1
939,2002-2005,11,Manifold Parzen Windows,Learning Probability Measures with respect to Optimal Transport Metrics,1
940,1990-1993,12,Fast Non-Linear Dimension Reduction,Nonlinear Image Interpolation using Manifold Learning,1
941,1993-1996,13,Fast Non-Linear Dimension Reduction,Nonlinear Image Interpolation using Manifold Learning,1
942,2005-2008,0,Efficient multiple hyperparameter learning for log-linear models,<var>\theta</var>,1
943,1993-1996,1,Exponentially many local minima for single neurons,Worst-case Loss Bounds for Single Neurons,1
944,1993-1996,1,Exponentially many local minima for single neurons,On the Computational Efficiency of Training Neural Networks,1
945,2005-2008,2,Evaluating probabilities under high-dimensional latent variable models,The Doubly Correlated Nonparametric Topic Model,1
946,2005-2008,2,Evaluating probabilities under high-dimensional latent variable models,Continuous Relaxations for Discrete Hamiltonian Monte Carlo,1
947,2005-2008,2,Evaluating probabilities under high-dimensional latent variable models,RNADE: The real-valued neural autoregressive density-estimator,1
948,2008-2011,3,Evaluating probabilities under high-dimensional latent variable models,The Doubly Correlated Nonparametric Topic Model,1
949,2008-2011,3,Evaluating probabilities under high-dimensional latent variable models,Continuous Relaxations for Discrete Hamiltonian Monte Carlo,1
950,2008-2011,3,Evaluating probabilities under high-dimensional latent variable models,RNADE: The real-valued neural autoregressive density-estimator,1
951,2002-2005,4,A Model for Learning the Semantics of Pictures,Who's In the Picture,1
952,2011-2014,5,Matrix reconstruction with the local max norm,Online Optimization for Max-Norm Regularization,1
953,2011-2014,6,Efficient Online Inference for Bayesian Nonparametric Relational Models,On the relations of LFPs & Neural Spike Trains,1
954,1990-1993,7,HARMONET: A Neural Net for Harmonizing Chorales in the Style of J. S. Bach,Bach in a Box - Real-Time Harmony,1
955,1999-2002,8,Explaining Away in Weight Space,Dynamical Causal Learning,1
956,1999-2002,9,Convolution Kernels for Natural Language,Kernels for Structured Natural Language Data,1
957,2005-2008,10,Approximate inference using planar graph decomposition,Efficient Exact Inference in Planar Ising Models,1
958,2005-2008,10,Approximate inference using planar graph decomposition,Randomized Pruning: Efficiently Calculating Expectations in Large Dynamic Programs,1
959,2005-2008,10,Approximate inference using planar graph decomposition,MAP estimation in Binary MRFs via Bipartite Multi-cuts,1
960,2005-2008,10,Approximate inference using planar graph decomposition,Learning as MAP Inference in Discrete Graphical Models,1
961,2005-2008,10,Approximate inference using planar graph decomposition,Projecting Ising Model Parameters for Fast Mixing,1
962,2005-2008,10,Approximate inference using planar graph decomposition,Multilabel Structured Output Learning with Random Spanning Trees of Max-Margin Markov Networks,1
963,2008-2011,11,Empirical models of spiking in neural populations,Spectral learning of linear dynamics from generalised-linear observations with application to neural population data,1
964,2008-2011,11,Empirical models of spiking in neural populations,A Bayesian model for identifying hierarchically organised states in neural population activity,1
965,2008-2011,11,Empirical models of spiking in neural populations,Clustered factor analysis of multineuronal spike data,1
966,2008-2011,11,Empirical models of spiking in neural populations,Spatio-temporal Representations of Uncertainty in Spiking Neural Networks,1
967,2008-2011,11,Empirical models of spiking in neural populations,Extracting Latent Structure From Multiple Interacting Neural Populations,1
968,2011-2014,12,Empirical models of spiking in neural populations,Spectral learning of linear dynamics from generalised-linear observations with application to neural population data,1
969,2011-2014,12,Empirical models of spiking in neural populations,A Bayesian model for identifying hierarchically organised states in neural population activity,1
970,2011-2014,12,Empirical models of spiking in neural populations,Clustered factor analysis of multineuronal spike data,1
971,2011-2014,12,Empirical models of spiking in neural populations,Spatio-temporal Representations of Uncertainty in Spiking Neural Networks,1
972,2011-2014,12,Empirical models of spiking in neural populations,Extracting Latent Structure From Multiple Interacting Neural Populations,1
973,2008-2011,13,Phase transition in the family of p-resistances,Analyzing the Harmonic Structure in Graph-Based Learning,1
974,2008-2011,13,Phase transition in the family of p-resistances,From random walks to distances on unweighted graphs,1
975,2011-2014,0,Phase transition in the family of p-resistances,Analyzing the Harmonic Structure in Graph-Based Learning,1
976,2011-2014,0,Phase transition in the family of p-resistances,From random walks to distances on unweighted graphs,1
977,1996-1999,1,Data Visualization and Feature Selection: New Algorithms for Nongaussian Data,Feature Selection by Maximum Marginal Diversity,1
978,1999-2002,2,Data Visualization and Feature Selection: New Algorithms for Nongaussian Data,Feature Selection by Maximum Marginal Diversity,1
979,2011-2014,3,On Lifting the Gibbs Sampling Algorithm,An Integer Polynomial Programming Based Framework for Lifted MAP Inference,1
980,2014-2017,4,Training Very Deep Networks,Tensor Switching Networks,1
981,1999-2002,5,Natural Language Grammar Induction Using a Constituent-Context Model,Unsupervised Learning of a Probabilistic Grammar for Object Detection and Parsing,1
982,1999-2002,5,Natural Language Grammar Induction Using a Constituent-Context Model,"Rapid Inference on a Novel AND/OR graph for Object Detection, Segmentation and Parsing",1
983,2002-2005,6,Dual-Tree Fast Gauss Transforms,Linear-time Algorithms for Pairwise Statistical Problems,1
984,2005-2008,7,Dual-Tree Fast Gauss Transforms,Linear-time Algorithms for Pairwise Statistical Problems,1
985,2011-2014,8,Parametric Task Learning,Joint quantile regression in vector-valued RKHSs,1
986,1999-2002,9,An Impossibility Theorem for Clustering,Measures of Clustering Quality: A Working Set of Axioms for Clustering,1
987,1999-2002,9,An Impossibility Theorem for Clustering,Towards Property-Based Classification of Clustering Paradigms,1
988,2002-2005,10,An Impossibility Theorem for Clustering,Measures of Clustering Quality: A Working Set of Axioms for Clustering,1
989,2002-2005,10,An Impossibility Theorem for Clustering,Towards Property-Based Classification of Clustering Paradigms,1
990,2005-2008,11,Learning to parse images of articulated bodies,Articulated Pose Estimation by a Graphical Model with Image Dependent Pairwise Relations,1
991,1999-2002,12,Thin Junction Trees,Analyzing Hogwild Parallel Gaussian Gibbs Sampling,1
992,2008-2011,13,Compositionality of optimal control laws,An Approximate Inference Approach to Temporal Optimization in Optimal Control,1
993,2008-2011,13,Compositionality of optimal control laws,Sample Efficient Path Integral Control under Uncertainty,1
994,2002-2005,0,Adaptive Manifold Learning,MLLE: Modified Locally Linear Embedding Using Multiple Weights,1
995,1987-1990,1,Implications of Recursive Distributed Representations,Higher Order Recurrent Networks and Grammatical Inference,1
996,1987-1990,1,Implications of Recursive Distributed Representations,Language Induction by Phase Transition in Dynamical Recognizers,1
997,2005-2008,2,Reducing statistical dependencies in natural signals using radial Gaussianization,Hierarchical Modeling of Local Image Features through ,1
998,2008-2011,3,Reducing statistical dependencies in natural signals using radial Gaussianization,Hierarchical Modeling of Local Image Features through ,1
999,2008-2011,4,Bilinear classifiers for visual recognition,Multilinear Subspace Regression: An Orthogonal Tensor Decomposition Approach,1
1000,1996-1999,5,Agglomerative Information Bottleneck,Data Clustering by Markovian Relaxation and the Information Bottleneck Method,1
1001,1999-2002,6,Agglomerative Information Bottleneck,Data Clustering by Markovian Relaxation and the Information Bottleneck Method,1
1002,2014-2017,7,Double or Nothing: Multiplicative Incentive Mechanisms for Crowdsourcing,Eliciting Categorical Data for Optimal Aggregation,1
1003,2011-2014,8,Ensemble weighted kernel estimators for multivariate entropy estimation,Multivariate f-divergence Estimation With Confidence,1
1004,1993-1996,9,A Mixture Model System for Medical and Machine Diagnosis,On Input Selection with Reversible Jump Markov Chain Monte Carlo Sampling,1
1005,2002-2005,10,Simplicial Mixtures of Markov Chains: Distributed Modelling of Dynamic User Profiles,The Infinite Markov Model,1
1006,2014-2017,11,Skip-Thought Vectors,Multimodal Residual Learning for Visual QA,1
1007,2002-2005,12,Multiple Instance Boosting for Object Detection,MCBoost: Multiple Classifier Boosting for Perceptual Co-clustering of Images and Visual Features,1
1008,2002-2005,12,Multiple Instance Boosting for Object Detection,Multi-Level Active Prediction of Useful Image Annotations for Recognition,1
1009,2005-2008,13,Multiple Instance Boosting for Object Detection,MCBoost: Multiple Classifier Boosting for Perceptual Co-clustering of Images and Visual Features,1
1010,2005-2008,13,Multiple Instance Boosting for Object Detection,Multi-Level Active Prediction of Useful Image Annotations for Recognition,1
1011,2008-2011,0,Slice sampling covariance hyperparameters of latent Gaussian models,Optimal Reinforcement Learning for Gaussian Systems,1
1012,2008-2011,0,Slice sampling covariance hyperparameters of latent Gaussian models,Multi-Task Bayesian Optimization,1
1013,2008-2011,0,Slice sampling covariance hyperparameters of latent Gaussian models,Bayesian Nonlinear Support Vector Machines and Discriminative Factor Modeling,1
1014,2008-2011,0,Slice sampling covariance hyperparameters of latent Gaussian models,Unlocking neural population non-stationarities using hierarchical dynamics models,1
1015,2008-2011,0,Slice sampling covariance hyperparameters of latent Gaussian models,MCMC for Variationally Sparse Gaussian Processes,1
1016,2008-2011,0,Slice sampling covariance hyperparameters of latent Gaussian models,MCMC for Variationally Sparse Gaussian Processes,1
1017,1990-1993,1,Bayesian Self-Organization,JPMAX: Learning to Recognize Moving Objects as a Model-fitting Problem,1
1018,1993-1996,2,Bayesian Self-Organization,JPMAX: Learning to Recognize Moving Objects as a Model-fitting Problem,1
1019,1987-1990,3,What Size Net Gives Valid Generalization?,Generalization and Parameter Estimation in Feedforward Nets: Some Experiments,1
1020,2011-2014,4,Communication-Efficient Algorithms for Statistical Optimization,Online and Stochastic Gradient Methods for Non-decomposable Loss Functions,1
1021,2011-2014,4,Communication-Efficient Algorithms for Statistical Optimization,Communication-Efficient Distributed Dual Coordinate Ascent,1
1022,2014-2017,5,Spatial Transformer Networks,"Attend, Infer, Repeat: Fast Scene Understanding with Generative Models",1
1023,2014-2017,5,Spatial Transformer Networks,Universal Correspondence Network,1
1024,2011-2014,6,Bayesian active learning with localized priors for fast receptive field characterization,Bayesian inference for low rank spatiotemporal neural receptive fields,1
1025,2011-2014,6,Bayesian active learning with localized priors for fast receptive field characterization,Fast Active Set Methods for Online Spike Inference from Calcium Imaging,1
