Level1,Level2,Level3,Level4,Federal,,Total
Welfare,Housing,Construction  Housing and Community Development (F50),,0,g,5.2
Welfare,Housing,Other Capital Outlay  Housing and Community Development (G50),,0,g,1.3
Welfare,Social exclusion n.e.c.,Other income security (609),Payment Where Earned Income Credit Exceeds Liability for Tax,52.615,b,52.615
Welfare,Social exclusion n.e.c.,Other income security (609),Payment Where Child Tax Credit Exceeds Liability for Tax,23.045,b,23.045
Welfare,Social exclusion n.e.c.,Other income security (609),Payment Where Alternative Minimum Tax Credit Exceeds Liability for Tax,0.075,b,0.075
Welfare,Social exclusion n.e.c.,Other income security (609),Payment Where Adoption Credit Exceeds Liability for Tax,0.355,b,0.355
Welfare,Social exclusion n.e.c.,Other income security (609),Receipts from SSI Administrative Fee,0.139,b,0.139
Welfare,Social exclusion n.e.c.,Other income security (609),Recovery of Beneficiary Overpayments from SSI Program,3.202,b,3.202
Welfare,Social exclusion n.e.c.,Other income security (609),Supplemental Security Income Program,3.915,b,3.915
Welfare,Social exclusion n.e.c.,Other income security (609),Supplemental Security Income Program,54.36,b,54.36
Welfare,Social exclusion n.e.c.,Other income security (609),"State Supplemental Fees, SSI",0.17,b,0.17
Welfare,Social exclusion n.e.c.,Other income security (609),State Supplemental Fees,0.157,b,0.157
Welfare,Social exclusion n.e.c.,Other income security (609),Federal Share of Child Support Collections,1.045,b,1.045
Welfare,Social exclusion n.e.c.,Other income security (609),Payments to States for Child Support Enforcement and Family Support Programs,3.873,b,3.873
Welfare,Social exclusion n.e.c.,Other income security (609),Low Income Home Energy Assistance,3.338,b,3.338
Welfare,Social exclusion n.e.c.,Other income security (609),Refugee and Entrant Assistance,0.722,b,0.722
Welfare,Social exclusion n.e.c.,Other income security (609),Refugee and Entrant Assistance,0.108,b,0.108
Welfare,Social exclusion n.e.c.,Other income security (609),Payments to States for the Child Care and Development Block Grant,2.452,b,2.452
Welfare,Social exclusion n.e.c.,Other income security (609),Contingency Fund,0.393,b,0.393
Welfare,Social exclusion n.e.c.,Other income security (609),Payments for Foster Care and Permanency,7.17,b,7.17
Welfare,Social exclusion n.e.c.,Other income security (609),Child Care Entitlement to States,3.286,b,3.286
Welfare,Social exclusion n.e.c.,Other income security (609),Temporary Assistance for Needy Families,17.306,b,17.306
Welfare,Social exclusion n.e.c.,Other income security (609),Children's Research and Technical Assistance,0.068,b,0.068
Welfare,Social exclusion n.e.c.,"Current Operations  Public Welfare, Vendor Payments for Other Purposes (E75)",,0,g,13.5
Welfare,Social exclusion n.e.c.,Current Operations  Public Welfare Institutions (E77),,0,g,6.4
Welfare,Social exclusion n.e.c.,Current Operations  Public Welfare  Other (E79),,0,g,71.5
Welfare,Social exclusion n.e.c.,"Construction  Public Welfare, Vendor Payments for Other Purposes (F75)",,0,,0
Welfare,Social exclusion n.e.c.,Construction  Public Welfare Institutions (F77),,0,g,0
Welfare,Social exclusion n.e.c.,Construction  Public Welfare  Other (F79),,0,g,0.3
Welfare,Social exclusion n.e.c.,"Other Capital Outlay  Public Welfare, Vendor Payments for Other Purposes (G75)",,0,,0
Welfare,Social exclusion n.e.c.,Other Capital Outlay  Public Welfare Institutions (G77),,0,g,0.1
Welfare,Social exclusion n.e.c.,Other Capital Outlay  Public Welfare  Other (G79),,0,g,0.5
Welfare,R&D Social protection,,,0,,0
Welfare,Social protection n.e.c.,Other In Trust  Benefit Payment (Y53),,0,g,7.2
Welfare,Social protection n.e.c.,Other In Trust  Other Payments (Y54),,0,,0
Protection,Police services,Federal law enforcement activities (751),"Diversion Control Fee Account, DEA",0.335,b,0.335
Protection,Police services,Federal law enforcement activities (751),Salaries and Expenses,3.452,b,3.452
Protection,Police services,Federal law enforcement activities (751),Construction,0.101,b,0.101
Protection,Police services,Federal law enforcement activities (751),Salaries and Expenses,1.937,b,1.937
Protection,Police services,Federal law enforcement activities (751),Diversion Control Fee Account,0.312,b,0.312
Protection,Police services,Federal law enforcement activities (751),Salaries and Expenses,1.196,b,1.196
Protection,Police services,Federal law enforcement activities (751),Salaries and Expenses,0.128,b,0.128
Protection,Police services,Federal law enforcement activities (751),Tactical Law Enforcement Wireless Communications,0.105,b,0.105
Protection,Police services,Federal law enforcement activities (751),Justice Information Sharing Technology,0.064,b,0.064
Protection,Police services,Federal law enforcement activities (751),Office of Inspector General,0.086,b,0.086
Protection,Police services,Federal law enforcement activities (751),Administrative Review and Appeals,0.331,b,0.331
Protection,Police services,Federal law enforcement activities (751),Interagency Crime and Drug Enforcement,0.527,b,0.527
Protection,Police services,Federal law enforcement activities (751),Salaries and Expenses,0.09,b,0.09
Protection,Police services,Federal law enforcement activities (751),Enforcement,0.715,b,0.715
Protection,Police services,Federal law enforcement activities (751),Salaries and Expenses,0.105,b,0.105
Protection,Police services,Federal law enforcement activities (751),Treasury Forfeiture Fund,0.2,b,0.2
Protection,Police services,Federal law enforcement activities (751),Treasury Forfeiture Fund,0.355,b,0.355
Protection,Police services,Federal law enforcement activities (751),Office of the Inspector General,0.06,b,0.06
Protection,Police services,Federal law enforcement activities (751),Office for Civil Rights,0.103,b,0.103
Protection,Police services,Federal law enforcement activities (751),Immigration User Fee,0.686,b,0.686
Protection,Police services,Federal law enforcement activities (751),Immigration Examination Fee,2.815,b,2.815
Protection,Police services,Federal law enforcement activities (751),H1B Nonimmigrant Petitioner Account,0.251,b,0.251
Protection,Police services,Federal law enforcement activities (751),Breached Bond/detention Fund,0.075,b,0.075
Protection,Police services,Federal law enforcement activities (751),Student and Exchange Visitor Fee,0.12,b,0.12
Protection,Police services,Federal law enforcement activities (751),H1B and L Fraud Prevention and Detection Account,0.105,b,0.105
Protection,Police services,Federal law enforcement activities (751),"US Customs User Fees Account, Conveyance/Passenger/Other",0.529,b,0.529
Protection,Police services,Federal law enforcement activities (751),"US Customs User Fees Account, Merchandise Processing",1.624,b,1.624
Protection,Police services,Federal law enforcement activities (751),Departmental Operations,0.536,b,0.536
Protection,Police services,Federal law enforcement activities (751),Office of the Chief Information Officer,0.317,b,0.317
Protection,Police services,Federal law enforcement activities (751),Analysis and Operations,0.328,b,0.328
Protection,Police services,Federal law enforcement activities (751),Operating Expenses,0.147,b,0.147
Protection,Police services,Federal law enforcement activities (751),Citizenship and Immigration Services,0.118,b,0.118
Protection,Police services,Federal law enforcement activities (751),Citizenship and Immigration Services,3.059,b,3.059
Protection,Police services,Federal law enforcement activities (751),Operating Expenses,1.567,b,1.567
Protection,Police services,Federal law enforcement activities (751),"Contribution for Annuity Benefits, United States Secret Service",0.25,b,0.25
Protection,Police services,Federal law enforcement activities (751),Salaries and expenses,0.231,b,0.231
Protection,Police services,Federal law enforcement activities (751),Immigration and Customs Enforcement,5.388,b,5.388
Protection,Police services,Federal law enforcement activities (751),Immigration and Customs Enforcement,0.312,b,0.312
Protection,Police services,Federal law enforcement activities (751),Customs and Border Protection,9.848,b,9.848
Protection,Police services,Federal law enforcement activities (751),Customs and Border Protection,1.462,b,1.462
Protection,Police services,Federal law enforcement activities (751),"Automation Modernization, Customs and Border Protection",0.309,b,0.309
Protection,Police services,Federal law enforcement activities (751),"Construction, Customs and Border Protection",0.383,b,0.383
Protection,Police services,Federal law enforcement activities (751),"Border Security Fencing, Infrastructure, and Technology",0.402,b,0.402
Protection,Police services,Federal law enforcement activities (751),"Air and Marine Interdiction, Operations, Maintenance, and Procurement",0.607,b,0.607
Protection,Police services,Federal law enforcement activities (751),Electronic System for Travel Authorization,0.055,b,0.055
Protection,Police services,Federal law enforcement activities (751),United States Visitor and Immigrant Status Indicator Technology,0.255,b,0.255
Protection,Police services,Federal law enforcement activities (751),"Research, Development, Acquisitions and Operations",0.785,b,0.785
Protection,Police services,Federal law enforcement activities (751),"Research, Development, and Operations",0.291,b,0.291
Protection,Police services,Federal law enforcement activities (751),Fair Housing Activities,0.073,b,0.073
Protection,Police services,Federal law enforcement activities (751),Fair Housing and Equal Opportunity Personnel Compensation and Benefits,0.074,b,0.074
Protection,Police services,Federal law enforcement activities (751),Salaries and Expenses,0.342,b,0.342
Protection,Police services,Current Operations  Police Protection (E62),,0,g,99.7
Protection,Police services,Construction  Police Protection (F62),,0,g,1.6
Protection,Police services,Other Capital Outlay  Police Protection (G62),,0,g,3.2
Protection,Fireprotection services,Current Operations  Local Fire Protection (E24),,0,g,40.1
Protection,Fireprotection services,Construction  Local Fire Protection (F24),,0,g,1.3
Protection,Fireprotection services,Other Capital Outlay  Local Fire Protection (G24),,0,g,1.8
Protection,Law courts,Federal litigative and judicial activities (752),"Fees for Bankruptcy Oversight, U.S. Trustees System",0.267,b,0.267
Protection,Law courts,Federal litigative and judicial activities (752),Federal Prisoner Detention,1.418,b,1.418
Protection,Law courts,Federal litigative and judicial activities (752),"Salaries and Expenses, General Legal Activities",0.988,b,0.988
Protection,Law courts,Federal litigative and judicial activities (752),Fees and Expenses of Witnesses,0.323,b,0.323
Protection,Law courts,Federal litigative and judicial activities (752),"Salaries and Expenses, United States Attorneys",2.077,b,2.077
Protection,Law courts,Federal litigative and judicial activities (752),"Salaries and Expenses, United States Marshals Service",1.454,b,1.454
Protection,Law courts,Federal litigative and judicial activities (752),Assets Forfeiture Fund,0.676,b,0.676
Protection,Law courts,Federal litigative and judicial activities (752),Assets Forfeiture Fund,0.566,b,0.566
Protection,Law courts,Federal litigative and judicial activities (752),Assets Forfeiture Fund,3.633,b,3.633
Protection,Law courts,Federal litigative and judicial activities (752),United States Trustee System Fund,0.226,b,0.226
Protection,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,0.053,b,0.053
Protection,Law courts,Federal litigative and judicial activities (752),"Proceeds from Sale of Property, Judiciary Information Technology Fund",0.165,b,0.165
Protection,Law courts,Federal litigative and judicial activities (752),"Advances and Reimbursements, Judiciary Information Technology Fund",0.3,b,0.3
Protection,Law courts,Federal litigative and judicial activities (752),Federal Payment to Judicial Officers Retirement Fund,0.095,b,0.095
Protection,Law courts,Federal litigative and judicial activities (752),Judiciary Filing Fees,0.44,b,0.44
Protection,Law courts,Federal litigative and judicial activities (752),Judiciary Information Technology Fund,0.6,b,0.6
Protection,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,4.802,b,4.802
Protection,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,0.338,b,0.338
Protection,Law courts,Federal litigative and judicial activities (752),Defender Services,1.063,b,1.063
Protection,Law courts,Federal litigative and judicial activities (752),Fees of Jurors and Commissioners,0.055,b,0.055
Protection,Law courts,Federal litigative and judicial activities (752),Court Security,0.51,b,0.51
Protection,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,0.085,b,0.085
Protection,Law courts,Federal litigative and judicial activities (752),Payment to Judiciary Trust Funds,0.125,b,0.125
Protection,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,0.075,b,0.075
Protection,Law courts,Federal litigative and judicial activities (752),Payment to Legal Services Corporation,0.398,b,0.398
Protection,Law courts,Federal litigative and judicial activities (752),Federal Payment to Court Services and Offender Supervision Agency for the District of Columbia,0.216,b,0.216
Protection,Law courts,Criminal justice assistance (754),"Research, Evaluation, and Statistics",0.134,b,0.134
Protection,Law courts,Criminal justice assistance (754),"Research, Evaluation, and Statistics",0.1,b,0.1
Protection,Law courts,Criminal justice assistance (754),Public Safety Officer Benefits,0.065,b,0.065
Protection,Law courts,Criminal justice assistance (754),State and Local Law Enforcement Assistance,1.589,b,1.589
Protection,Law courts,Criminal justice assistance (754),Juvenile Justice Programs,0.341,b,0.341
Protection,Law courts,Criminal justice assistance (754),Community Oriented Policing Services,0.518,b,0.518
Protection,Law courts,Criminal justice assistance (754),Violence against Women Prevention and Prosecution Programs,0.533,b,0.533
Protection,Law courts,Criminal justice assistance (754),Community Oriented Policing Stabilization Fund,1.597,b,1.597
Protection,Law courts,Criminal justice assistance (754),Crime Victims Fund,4.955,b,4.955
Protection,Law courts,Criminal justice assistance (754),Crime Victims Fund,1.095,b,1.095
Protection,Law courts,Criminal justice assistance (754),Crime Victims Fund,5.002,b,5.002
Protection,Law courts,Criminal justice assistance (754),September 11th Victim Compensation (general Fund),0.322,b,0.322
Protection,Law courts,Criminal justice assistance (754),Highintensity Drug Trafficking Areas Program,0.238,b,0.238
Protection,Law courts,Current Operations  Judicial and Legal Services (E25),,0,g,43.7
Protection,Law courts,Construction  Judicial and Legal Services (F25),,0,g,0.5
Protection,Law courts,Other Capital Outlay  Judicial and Legal Services (G25),,0,g,0.5
Protection,Prisons,Federal correctional activities (753),Buildings and Facilities,0.135,b,0.135
Protection,Prisons,Federal correctional activities (753),Salaries and Expenses,6.794,b,6.794
Protection,Prisons,Federal correctional activities (753),Detention Trustee,0.237,b,0.237
Protection,Prisons,Current Operations  Correctional Institutions (E04),,0,g,55
Protection,Prisons,Current Operations  Corrections  Other (E05),,0,g,12.9
Protection,Prisons,Construction  Correctional Institutions (F04),,0,g,3.1
Protection,Prisons,Construction  Corrections  Other (F05),,0,g,0.1
Protection,Prisons,Other Capital Outlay  Correctional Institutions (G04),,0,g,0.8
Protection,Prisons,Other Capital Outlay  Corrections  Other (G05),,0,g,0.1
Protection,R&D Public order and safety,,,0,,0
Protection,Public order and safety n.e.c.,"Current Operations  Protective Inspection and Regulation, NEC (E66)",,0,g,14.6
Protection,Public order and safety n.e.c.,"Construction  Protective Inspection and Regulation, NEC (F66)",,0,g,0.5
Protection,Public order and safety n.e.c.,"Other Capital Outlay  Protective Inspection and Regulation, NEC (G66)",,0,g,0.2
Transportation,Transport,Ground transportation (401),Payment to FRA for AMTRAK Debt Restructuring,0.059,b,0.059
Transportation,Transport,Ground transportation (401),Immediate Transportation Investments,16.82,b,16.82
Transportation,Transport,Ground transportation (401),"Advances from State Cooperating Agencies and Foreign Governments, FHA Miscellaneous Trust",0.055,b,0.055
Transportation,Transport,Ground transportation (401),"Payment from the General Fund, Transportation Trust Fund (Mass Transit)",12,b,12
Transportation,Transport,Ground transportation (401),"Payment from the General Fund, Transportation Trust Fund (Highway)",18.486,b,18.486
Transportation,Transport,Ground transportation (401),"Payment from the General Fund, Transportation Trust Fund (multimodal Account)",8,b,8
Transportation,Transport,Ground transportation (401),Emergency Relief Program,0.937,b,0.937
Transportation,Transport,Ground transportation (401),"Highway Infrastructure Investment, Recovery Act",1.586,b,1.586
Transportation,Transport,Ground transportation (401),Payment to the Transportation Trust Fund,38.486,b,38.486
Transportation,Transport,Ground transportation (401),Highway Infrastructure Programs,0.151,b,0.151
Transportation,Transport,Ground transportation (401),Federalaid Highways,0.051,b,0.051
Transportation,Transport,Ground transportation (401),Federalaid Highways,41.115,b,41.115
Transportation,Transport,Ground transportation (401),Federalaid Highways,0.303,b,0.303
Transportation,Transport,Ground transportation (401),Miscellaneous Appropriations,0.086,b,0.086
Transportation,Transport,Ground transportation (401),Miscellaneous Trust Funds,0.091,b,0.091
Transportation,Transport,Ground transportation (401),Motor Carrier Safety Grants,0.334,b,0.334
Transportation,Transport,Ground transportation (401),Motor Carrier Safety Operations and Programs,0.249,b,0.249
Transportation,Transport,Ground transportation (401),Operations and Research (Transportation Trust Fund),0.249,b,0.249
Transportation,Transport,Ground transportation (401),Highway Traffic Safety Grants,0.634,b,0.634
Transportation,Transport,Ground transportation (401),Safety and Operations,0.148,b,0.148
Transportation,Transport,Ground transportation (401),Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service,1.423,b,1.423
Transportation,Transport,Ground transportation (401),Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service,0.337,b,0.337
Transportation,Transport,Ground transportation (401),Network Development,0.136,b,0.136
Transportation,Transport,Ground transportation (401),System Preservation,1.089,b,1.089
Transportation,Transport,Ground transportation (401),"Transit Capital Assistance, Recovery Act",0.864,b,0.864
Transportation,Transport,Ground transportation (401),"Fixed Guideway Infrastructure Investment, Recovery Act",0.088,b,0.088
Transportation,Transport,Ground transportation (401),Washington Metropolitan Area Transit Authority,0.25,b,0.25
Transportation,Transport,Ground transportation (401),Formula Grants,0.116,b,0.116
Transportation,Transport,Ground transportation (401),Capital Investment Grants,1.895,b,1.895
Transportation,Transport,Ground transportation (401),Research and University Research Centers,0.062,b,0.062
Transportation,Transport,Ground transportation (401),Transit Formula Grants,8.457,b,8.457
Transportation,Transport,Ground transportation (401),Operations and Safety,0.117,b,0.117
Transportation,Transport,Ground transportation (401),Transit Expansion and Livable Communities Programs,0.245,b,0.245
Transportation,Transport,Ground transportation (401),Bus and Rail State of Good Repair,0.481,b,0.481
Transportation,Transport,Ground transportation (401),"Supplemental Discretionary Grants for a National Surface Transportation System, Recovery Act",0.42,b,0.42
Transportation,Transport,Ground transportation (401),National Infrastructure Investments,0.312,b,0.312
Transportation,Transport,Ground transportation (401),Surface Transportation Security,0.126,b,0.126
Transportation,Transport,Air transportation (402),Immediate Transportation Investments,1.46,b,1.46
Transportation,Transport,Air transportation (402),Operations,3.292,b,3.292
Transportation,Transport,Air transportation (402),Aviation Insurance Revolving Fund,0.194,b,0.194
Transportation,Transport,Air transportation (402),Trust Fund Share of FAA Activities (Airport and Airway Trust Fund),6.721,b,6.721
Transportation,Transport,Air transportation (402),Grantsinaid for Airports (Airport and Airway Trust Fund),3.456,b,3.456
Transportation,Transport,Air transportation (402),Grantsinaid for Airports (Airport and Airway Trust Fund),0.142,b,0.142
Transportation,Transport,Air transportation (402),Facilities and Equipment (Airport and Airway Trust Fund),2.917,b,2.917
Transportation,Transport,Air transportation (402),"Research, Engineering and Development (Airport and Airway Trust Fund)",0.189,b,0.189
Transportation,Transport,Air transportation (402),Essential Air Service and Rural Airport Improvement Fund,0.08,b,0.08
Transportation,Transport,Air transportation (402),Payments to Air Carriers,0.126,b,0.126
Transportation,Transport,Air transportation (402),"Fees, Aviation Security Capital Fund",0.25,b,0.25
Transportation,Transport,Air transportation (402),"Fees, Aviation Security, Deficit Reduction",0.2,b,0.2
Transportation,Transport,Air transportation (402),Federal Air Marshals,0.929,b,0.929
Transportation,Transport,Air transportation (402),Aviation Security,2.916,b,2.916
Transportation,Transport,Air transportation (402),Aviation Security,0.246,b,0.246
Transportation,Transport,Air transportation (402),Transportation Security Support,0.986,b,0.986
Transportation,Transport,Air transportation (402),Transportation Threat Assessment and Credentialing,0.182,b,0.182
Transportation,Transport,Air transportation (402),Aeronautics,0.506,b,0.506
Transportation,Transport,Water transportation (403),Operations and Training,0.201,b,0.201
Transportation,Transport,Water transportation (403),Ocean Freight Differential,0.15,b,0.15
Transportation,Transport,Water transportation (403),Retired Pay,1.424,b,1.424
Transportation,Transport,Water transportation (403),Operating Expenses,6.406,b,6.406
Transportation,Transport,Water transportation (403),Reserve Training,0.133,b,0.133
Transportation,Transport,Water transportation (403),"Acquisition, Construction, and Improvements",1.992,b,1.992
Transportation,Transport,Water transportation (403),"Medicareeligible Retiree Health Fund Contribution, Homeland Security",0.17,b,0.17
Transportation,Transport,Water transportation (403),Boat Safety,0.11,b,0.11
Transportation,Transport,Other transportation (407),Pipeline Safety Fund,0.151,b,0.151
Transportation,Transport,Other transportation (407),Salaries and Expenses,0.11,b,0.11
Transportation,Transport,Other transportation (407),Pipeline Safety,0.073,b,0.073
Transportation,Transport,Other transportation (407),Salaries and Expenses,0.086,b,0.086
Transportation,Transport,Other transportation (407),Salaries and Expenses,0.102,b,0.102
Transportation,Transport,Federal Intergovernmental  Air Transportation (B01),,0,g,2.9
Transportation,Transport,Federal Intergovernmental  Highways (B46),,0,g,46.4
Transportation,Transport,Current Operations  Air Transportation (E01),,0,g,11.8
Transportation,Transport,Current Operations  Regular Highways (E44),,0,g,69.4
Transportation,Transport,Current Operations  Toll Highways (E45),,0,g,4.7
Transportation,Transport,Current Operations  Private Transit Subsidies (Disc. 2005) (E47),,0,,0
Transportation,Transport,Current Operations  Sea and Inland Port Facilities (E87),,0,g,3.8
Transportation,Transport,Construction  Air Transportation (F01),,0,g,12.9
Transportation,Transport,Construction  Regular Highways (F44),,0,g,75.5
Transportation,Transport,Construction  Toll Highways (F45),,0,g,4.2
Transportation,Transport,Construction  Private Transit Subsidies (F47),,0,,0
Transportation,Transport,Construction  Sea and Inland Port Facilities (F87),,0,g,2.1
Transportation,Transport,Other Capital Outlay  Air Transportation (G01),,0,g,0.9
Transportation,Transport,Other Capital Outlay  Regular Highways (G44),,0,g,8.1
Transportation,Transport,Other Capital Outlay  Toll Highways (G45),,0,g,0.6
Transportation,Transport,Other Capital Outlay  Private Transit Subsidies (G47),,0,,0
Transportation,Transport,Other Capital Outlay  Sea and Inland Port Facilities (G87),,0,g,0.4
Transportation,Transit,Federal Intergovernmental  Transit Utilities (B94),,0,g,11.6
Transportation,Transit,Current Operations  Transit Utilities (E94),,0,g,39
Transportation,Transit,Construction  Transit Utilities (F94),,0,g,9.5
Transportation,Transit,Other Capital Outlay  Transit Utilities (G94),,0,g,10.4
Transportation,Transit,Transit Utilities  Interest on Debt (I94),,0,g,2.3
General Government,"Executive and legislative organs, financ",Legislative functions (801),Compensation of Members and Related Administrative Expenses,0.103,b,0.103
General Government,"Executive and legislative organs, financ",Legislative functions (801),Salaries and Expenses,1.258,b,1.258
General Government,"Executive and legislative organs, financ",Legislative functions (801),General Expenses,0.085,b,0.085
General Government,"Executive and legislative organs, financ",Legislative functions (801),Salaries,0.303,b,0.303
General Government,"Executive and legislative organs, financ",Legislative functions (801),General Administration,0.109,b,0.109
General Government,"Executive and legislative organs, financ",Legislative functions (801),Capitol Building,0.057,b,0.057
General Government,"Executive and legislative organs, financ",Legislative functions (801),Senate Office Buildings,0.08,b,0.08
General Government,"Executive and legislative organs, financ",Legislative functions (801),House Office Buildings,0.08,b,0.08
General Government,"Executive and legislative organs, financ",Legislative functions (801),Capitol Power Plant,0.13,b,0.13
General Government,"Executive and legislative organs, financ",Legislative functions (801),Congressional Research Service: Salaries and Expenses,0.109,b,0.109
General Government,"Executive and legislative organs, financ",Legislative functions (801),Congressional Printing and Binding,0.081,b,0.081
General Government,"Executive and legislative organs, financ",Legislative functions (801),Salaries and Expenses,0.524,b,0.524
General Government,"Executive and legislative organs, financ",Legislative functions (801),"Salaries, Officers and Employees",0.182,b,0.182
General Government,"Executive and legislative organs, financ",Legislative functions (801),Sergeant at Arms and Doorkeeper of the Senate,0.13,b,0.13
General Government,"Executive and legislative organs, financ",Legislative functions (801),Inquiries and Investigations,0.138,b,0.138
General Government,"Executive and legislative organs, financ",Legislative functions (801),Senators' Official Personnel and Office Expense Account,0.426,b,0.426
General Government,"Executive and legislative organs, financ",Executive direction and management (802),Salaries and Expenses,0.122,b,0.122
General Government,"Executive and legislative organs, financ",Executive direction and management (802),Office of Management and Budget,0.092,b,0.092
General Government,"Executive and legislative organs, financ",Executive direction and management (802),The White House,0.057,b,0.057
General Government,"Executive and legislative organs, financ",Executive direction and management (802),Office of the United States Trade Representative,0.053,b,0.053
General Government,"Executive and legislative organs, financ",Executive direction and management (802),Other Federal Drug Control Programs,0.144,b,0.144
General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Charges for Administrative Expenses of Social Security Act As Amended,0.952,b,0.952
General Government,"Executive and legislative organs, financ",Central fiscal operations (803),"New Installment Agreements, IRS Miscellaneous Retained Fees",0.159,b,0.159
General Government,"Executive and legislative organs, financ",Central fiscal operations (803),"General User Fees, IRS Miscellaneous Retained Fees",0.079,b,0.079
General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Underpayment and Fraud Collection,0.125,b,0.125
General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Debt Collection,0.092,b,0.092
General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Federal Financing Bank,0.58,b,0.58
General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Financial Agent Services,0.61,b,0.61
General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Federal Reserve Bank Reimbursement Fund,0.331,b,0.331
General Government,"Executive and legislative organs, financ",Central fiscal operations (803),"Salaries and Expenses, Fiscal Service",0.349,b,0.349
General Government,"Executive and legislative organs, financ",Central fiscal operations (803),"Salaries and Expenses, Fiscal Service",0.075,b,0.075
General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Reimbursements to Federal Reserve Banks,0.11,b,0.11
General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Salaries and Expenses,0.097,b,0.097
General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Informant Payments,0.125,b,0.125
General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Taxpayer Services,2.225,b,2.225
General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Enforcement,5.036,b,5.036
General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Operations Support,4.365,b,4.365
General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Business Systems Modernization,0.352,b,0.352
General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Salaries and Expenses,0.31,b,0.31
General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Treasury Inspector General for Tax Administration,0.154,b,0.154
General Government,"Executive and legislative organs, financ",General property and records management (804),Office of Inspector General,0.059,b,0.059
General Government,"Executive and legislative organs, financ",General property and records management (804),Operating Expenses,0.067,b,0.067
General Government,"Executive and legislative organs, financ",General property and records management (804),Governmentwide Policy,0.082,b,0.082
General Government,"Executive and legislative organs, financ",General property and records management (804),Federal Buildings Fund,0.314,b,0.314
General Government,"Executive and legislative organs, financ",General property and records management (804),"Federal Buildings Fund, Recovery Act",0.824,b,0.824
General Government,"Executive and legislative organs, financ",General property and records management (804),Operating Expenses,0.333,b,0.333
General Government,"Executive and legislative organs, financ",Central personnel management (805),Salaries and Expenses,0.1,b,0.1
General Government,"Executive and legislative organs, financ",Central personnel management (805),Payment to Civil Service Retirement and Disability Fund,31.838,b,31.838
General Government,"Executive and legislative organs, financ",Central personnel management (805),General Fund Payment to the Civil Service Retirement and Disability Fund,31.838,b,31.838
General Government,"Executive and legislative organs, financ",Current Operations  Financial Administration (E23),,0,g,41.5
General Government,"Executive and legislative organs, financ",Current Operations  State Legislative Services (E26),,0,g,3
General Government,"Executive and legislative organs, financ",Current Operations  Central Staff Services (E29),,0,g,25.5
General Government,"Executive and legislative organs, financ",Current Operations  General Public Buildings (E31),,0,g,8.1
General Government,"Executive and legislative organs, financ",Construction  Financial Administration (F23),,0,g,0.3
General Government,"Executive and legislative organs, financ",Construction  State Legislative Services (F26),,0,g,0
General Government,"Executive and legislative organs, financ",Construction  Central Staff Services (F29),,0,g,1.1
General Government,"Executive and legislative organs, financ",Construction  General Public Buildings (F31),,0,g,3.6
General Government,"Executive and legislative organs, financ",Other Capital Outlay  Financial Administration (G23),,0,g,0.8
General Government,"Executive and legislative organs, financ",Other Capital Outlay  State Legislative Services (G26),,0,g,0
General Government,"Executive and legislative organs, financ",Other Capital Outlay  Central Staff Services (G29),,0,g,1.4
General Government,"Executive and legislative organs, financ",Other Capital Outlay  General Public Building (G31),,0,g,1
General Government,General services,General purpose fiscal assistance (806),Mineral Leasing and Associated Payments,2.144,b,2.144
General Government,General services,General purpose fiscal assistance (806),"Payments to the United States Territories, Fiscal Assistance",0.248,b,0.248
General Government,General services,General purpose fiscal assistance (806),Payments to States in Lieu of Coal Fee Receipts,0.12,b,0.12
General Government,General services,General purpose fiscal assistance (806),Payments in Lieu of Taxes,0.398,b,0.398
General Government,General services,General purpose fiscal assistance (806),Internal Revenue Collections for Puerto Rico,0.466,b,0.466
General Government,General services,General purpose fiscal assistance (806),"Build America Bond Payments, Recovery Act",3.958,b,3.958
General Government,General services,General purpose fiscal assistance (806),"Refunds, Transfers, and Expenses of Operation, Puerto Rico",0.098,b,0.098
General Government,General services,General purpose fiscal assistance (806),Federal Payment to the District of Columbia Courts,0.245,b,0.245
General Government,General services,General purpose fiscal assistance (806),Defender Services in District of Columbia Courts,0.06,b,0.06
General Government,General services,General purpose fiscal assistance (806),Forest Service Permanent Appropriations,0.126,b,0.126
