Level1,Level2,Level3,Level4,Citations,Papers,Paper_ID,Top_Words1,Top_Topic1,KCluster
2008-2011,"image, images, object, visual, concept, content, objects, class, set, face",Tiled convolutional neural networks,Noise-Enhanced Associative Memories,1,1,4136,"image', u'images', u'object', u'visual', u'concept', u'content', u'objects', u'class', u'set', u'face']",[7],5
2008-2011,"model, time, network, data, change, genes, non, structure, bayesian, point",Non-stationary continuous dynamic Bayesian networks,Inter-time segment information sharing for non-homogeneous dynamic Bayesian networks,1,1,3687,"model', u'time', u'network', u'data', u'change', u'genes', u'non', u'structure', u'bayesian', u'point']",[4],2
2014-2017,"sampling, sgd, linear, dependence, sup, k22, convergence, convex, weighted, weights",Information-theoretic lower bounds for convex optimization with erroneous oracles,Algorithms and matching lower bounds for approximately-convex optimization,1,1,5841,"sampling', u'sgd', u'linear', u'dependence', u'sup', u'k22', u'convergence', u'convex', u'weighted', u'weights']",[3],2
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Semi-Markov Conditional Random Fields for Information Extraction,Active Learning for Probabilistic Hypotheses Using the Maximum Gibbs Error Criterion,1,1,2648,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Multi-Label Prediction via Sparse Infinite CCA,Reverse Multi-Label Learning,1,1,3673,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Multi-Label Prediction via Sparse Infinite CCA,Submodular Multi-Label Learning,1,1,3673,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"image, images, object, visual, concept, content, objects, class, set, face",Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials,Algorithms for Learning Markov Field Policies,1,1,4296,"image', u'images', u'object', u'visual', u'concept', u'content', u'objects', u'class', u'set', u'face']",[7],5
2008-2011,"image, images, object, visual, concept, content, objects, class, set, face",Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials,Message Passing Inference for Large Scale Graphical Models with High Order Potentials,1,1,4296,"image', u'images', u'object', u'visual', u'concept', u'content', u'objects', u'class', u'set', u'face']",[7],5
2011-2014,"class, object, visual, face, vol, viewpoint, objects, model, faces, cells",Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials,Algorithms for Learning Markov Field Policies,1,1,4296,"class', u'object', u'visual', u'face', u'vol', u'viewpoint', u'objects', u'model', u'faces', u'cells']",[0],5
2011-2014,"class, object, visual, face, vol, viewpoint, objects, model, faces, cells",Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials,Message Passing Inference for Large Scale Graphical Models with High Order Potentials,1,1,4296,"class', u'object', u'visual', u'face', u'vol', u'viewpoint', u'objects', u'model', u'faces', u'cells']",[0],5
2008-2011,"algorithm, data, function, learning, regularization, privacy, batch, set, experiments, performance",Stochastic convex optimization with bandit feedback,Finite Sample Convergence Rates of Zero-Order Stochastic Optimization Methods,1,1,4475,"algorithm', u'data', u'function', u'learning', u'regularization', u'privacy', u'batch', u'set', u'experiments', u'performance']",[1],6
2008-2011,"algorithm, data, function, learning, regularization, privacy, batch, set, experiments, performance",Stochastic convex optimization with bandit feedback,Bandit Smooth Convex Optimization: Improving the Bias-Variance Tradeoff,1,1,4475,"algorithm', u'data', u'function', u'learning', u'regularization', u'privacy', u'batch', u'set', u'experiments', u'performance']",[1],6
2008-2011,"algorithm, data, function, learning, regularization, privacy, batch, set, experiments, performance",Stochastic convex optimization with bandit feedback,Algorithms and matching lower bounds for approximately-convex optimization,1,1,4475,"algorithm', u'data', u'function', u'learning', u'regularization', u'privacy', u'batch', u'set', u'experiments', u'performance']",[1],6
2011-2014,"points, set, point, nearest, neighbor, learning, convergence, dimension, distribution, theorem",Stochastic convex optimization with bandit feedback,Finite Sample Convergence Rates of Zero-Order Stochastic Optimization Methods,1,1,4475,"points', u'set', u'point', u'nearest', u'neighbor', u'learning', u'convergence', u'dimension', u'distribution', u'theorem']",[0],6
2011-2014,"points, set, point, nearest, neighbor, learning, convergence, dimension, distribution, theorem",Stochastic convex optimization with bandit feedback,Bandit Smooth Convex Optimization: Improving the Bias-Variance Tradeoff,1,1,4475,"points', u'set', u'point', u'nearest', u'neighbor', u'learning', u'convergence', u'dimension', u'distribution', u'theorem']",[0],6
2011-2014,"points, set, point, nearest, neighbor, learning, convergence, dimension, distribution, theorem",Stochastic convex optimization with bandit feedback,Algorithms and matching lower bounds for approximately-convex optimization,1,1,4475,"points', u'set', u'point', u'nearest', u'neighbor', u'learning', u'convergence', u'dimension', u'distribution', u'theorem']",[0],6
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",AUC optimization and the two-sample problem,A More Powerful Two-Sample Test in High Dimensions using Random Projection,1,1,3838,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2011-2014,"rank, low, conditional, model, estimates, likelihood, gaussian, data, posterior, using",Spectral methods for neural characterization using generalized quadratic models,Convolutional spike-triggered covariance analysis for neural subunit models,1,1,4993,"rank', u'low', u'conditional', u'model', u'estimates', u'likelihood', u'gaussian', u'data', u'posterior', u'using']",[9],4
1990-1993,"hidden, capacity, theorem, layer, dimension, networks, units, number, dvc, cover",Threshold Network Learning in the Presence of Equivalences,Generalisation of A Class of Continuous Neural Networks,1,1,510,"hidden', u'capacity', u'theorem', u'layer', u'dimension', u'networks', u'units', u'number', u'dvc', u'cover']",[9],8
1987-1990,"classifiers, training, classifier, network, classification, letter, tree, error, data, neural",Recognizing Hand-Printed Letters and Digits,Simulation of the Neocognitron on a CCD Parallel Processing Architecture,1,1,267,"classifiers', u'training', u'classifier', u'network', u'classification', u'letter', u'tree', u'error', u'data', u'neural']",[4],1
1990-1993,"network, learning, time, unit, output, pattern, information, units, temporal, patterns",VISIT: A Neural Model of Covert Visual Attention,Selective Attention for Handwritten Digit Recognition,1,1,551,"network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Sequence learning with hidden units in spiking neural networks,Homeostatic plasticity in Bayesian spiking networks as Expectation Maximization with posterior constraints,1,1,4383,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Sequence learning with hidden units in spiking neural networks,Learning visual motion in recurrent neural networks,1,1,4383,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Sequence learning with hidden units in spiking neural networks,Synaptic Sampling: A Bayesian Approach to Neural Network Plasticity and Rewiring,1,1,4383,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2011-2014,"decision, model, effects, rankings, models, feature, decisions, utility, preference, participants",Sequence learning with hidden units in spiking neural networks,Homeostatic plasticity in Bayesian spiking networks as Expectation Maximization with posterior constraints,1,1,4383,"decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2011-2014,"decision, model, effects, rankings, models, feature, decisions, utility, preference, participants",Sequence learning with hidden units in spiking neural networks,Learning visual motion in recurrent neural networks,1,1,4383,"decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2011-2014,"decision, model, effects, rankings, models, feature, decisions, utility, preference, participants",Sequence learning with hidden units in spiking neural networks,Synaptic Sampling: A Bayesian Approach to Neural Network Plasticity and Rewiring,1,1,4383,"decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
1996-1999,"data, model, algorithm, learning, matrix, space, function, risk, gaussian, binary",Regularisation in Sequential Learning Algorithms,Adaptive Classification by Variational Kalman Filtering,1,1,1464,"data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
1999-2002,"classifier, problem, set, training, algorithm, rate, kernel, one, svm, learning",Categorization by Learning and Combining Object Parts,Discriminating Deformable Shape Classes,1,1,2109,"classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,"learning, neuron, neurons, input, model, recurrent, excitatory, figure, time, synaptic",Generalized Belief Propagation,High-temperature Expansions for Learning Models of Nonnegative Data,1,1,1832,"learning', u'neuron', u'neurons', u'input', u'model', u'recurrent', u'excitatory', u'figure', u'time', u'synaptic']",[8],3
1999-2002,"learning, neuron, neurons, input, model, recurrent, excitatory, figure, time, synaptic",Generalized Belief Propagation,Active Information Retrieval,1,1,1832,"learning', u'neuron', u'neurons', u'input', u'model', u'recurrent', u'excitatory', u'figure', u'time', u'synaptic']",[8],3
1999-2002,"learning, neuron, neurons, input, model, recurrent, excitatory, figure, time, synaptic",Generalized Belief Propagation,"TAP Gibbs Free Energy, Belief Propagation and Sparsity",1,1,1832,"learning', u'neuron', u'neurons', u'input', u'model', u'recurrent', u'excitatory', u'figure', u'time', u'synaptic']",[8],3
1999-2002,"learning, neuron, neurons, input, model, recurrent, excitatory, figure, time, synaptic",Generalized Belief Propagation,The g Factor: Relating Distributions on Features to Distributions on Images,1,1,1832,"learning', u'neuron', u'neurons', u'input', u'model', u'recurrent', u'excitatory', u'figure', u'time', u'synaptic']",[8],3
1999-2002,"learning, neuron, neurons, input, model, recurrent, excitatory, figure, time, synaptic",Generalized Belief Propagation,Local Algorithms for Approximate Inference in Minor-Excluded Graphs,1,1,1832,"learning', u'neuron', u'neurons', u'input', u'model', u'recurrent', u'excitatory', u'figure', u'time', u'synaptic']",[8],3
1999-2002,"learning, neuron, neurons, input, model, recurrent, excitatory, figure, time, synaptic",Generalized Belief Propagation,Message Passing for Max-weight Independent Set,1,1,1832,"learning', u'neuron', u'neurons', u'input', u'model', u'recurrent', u'excitatory', u'figure', u'time', u'synaptic']",[8],3
1999-2002,"learning, neuron, neurons, input, model, recurrent, excitatory, figure, time, synaptic",Generalized Belief Propagation,Minimization of Continuous Bethe Approximations: A Positive Variation,1,1,1832,"learning', u'neuron', u'neurons', u'input', u'model', u'recurrent', u'excitatory', u'figure', u'time', u'synaptic']",[8],3
1996-1999,"data, model, algorithm, learning, matrix, space, function, risk, gaussian, binary",DTs: Dynamic Trees,A MCMC Approach to Hierarchical Mixture Modelling,1,1,1535,"data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
1993-1996,"style, content, data, model, new, models, diagnosis, training, using, mixture",Convergence Properties of the K-Means Algorithms,Limitations of Self-organizing Maps for Vector Quantization and Multidimensional Scaling,1,1,989,"style', u'content', u'data', u'model', u'new', u'models', u'diagnosis', u'training', u'using', u'mixture']",[2],8
2002-2005,"model, data, latent, learning, models, linear, training, space, mixture, doublets",Unsupervised Variational Bayesian Learning of Nonlinear Models,Affine Independent Variational Inference,1,1,2564,"model', u'data', u'latent', u'learning', u'models', u'linear', u'training', u'space', u'mixture', u'doublets']",[7],0
2005-2008,"traffic, log, dimension, time, learning, policy, intersection, gradient, doubling, nac",A Game-Theoretic Approach to Apprenticeship Learning,Bootstrapping Apprenticeship Learning,1,1,3293,"traffic', u'log', u'dimension', u'time', u'learning', u'policy', u'intersection', u'gradient', u'doubling', u'nac']",[1],0
2008-2011,"graph, graphs, kernel, distance, kernels, lehman, weisfeiler, resistance, runtime, nodes",Which graphical models are difficult to learn?,Structure learning of antiferromagnetic Ising models,1,1,3819,"graph', u'graphs', u'kernel', u'distance', u'kernels', u'lehman', u'weisfeiler', u'resistance', u'runtime', u'nodes']",[6],1
2008-2011,"graph, graphs, kernel, distance, kernels, lehman, weisfeiler, resistance, runtime, nodes",Which graphical models are difficult to learn?,Interaction Screening: Efficient and Sample-Optimal Learning of Ising Models,1,1,3819,"graph', u'graphs', u'kernel', u'distance', u'kernels', u'lehman', u'weisfeiler', u'resistance', u'runtime', u'nodes']",[6],1
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",Hardness of parameter estimation in graphical models,Interaction Screening: Efficient and Sample-Optimal Learning of Ising Models,1,1,5569,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2014-2017,"neural, fingerprints, bfgs, algorithm, lstm, learning, convex, selection, algorithm, strategy",Hardness of parameter estimation in graphical models,Interaction Screening: Efficient and Sample-Optimal Learning of Ising Models,1,1,5569,"neural', u'fingerprints', u'bfgs', u'algorithm', u'lstm', u'learning', u'convex', u'selection', u'algorithm', u'strategy']","[0, 2]",8
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Learning to combine foveal glimpses with a third-order Boltzmann machine,Deep Networks with Internal Selective Attention through Feedback Connections,1,1,4089,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",A Kernel Statistical Test of Independence,Kernel Measures of Conditional Dependence,1,1,3201,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Bayesian Surprise Attracts Human Attention,Graph-Based Visual Saliency,1,1,2822,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Bayesian Surprise Attracts Human Attention,Dynamic visual attention: searching for coding length increments,1,1,2822,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Bayesian Surprise Attracts Human Attention,Balancing Suspense and Surprise: Timely Decision Making with Endogenous Information Acquisition,1,1,2822,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Bayesian Surprise Attracts Human Attention,Graph-Based Visual Saliency,1,1,2822,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Bayesian Surprise Attracts Human Attention,Dynamic visual attention: searching for coding length increments,1,1,2822,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Bayesian Surprise Attracts Human Attention,Balancing Suspense and Surprise: Timely Decision Making with Endogenous Information Acquisition,1,1,2822,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
1990-1993,"network, learning, time, unit, output, pattern, information, units, temporal, patterns",Non-Linear Dimensionality Reduction,MLLE: Modified Locally Linear Embedding Using Multiple Weights,1,1,619,"network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
1999-2002,"classifier, problem, set, training, algorithm, rate, kernel, one, svm, learning",Adaptive Caching by Refetching,Nearly Tight Bounds for the Continuum-Armed Bandit Problem,1,1,2296,"classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
2002-2005,"data, learning, local, system, bound, margin, coordinates, using, global, given",Adaptive Caching by Refetching,Nearly Tight Bounds for the Continuum-Armed Bandit Problem,1,1,2296,"data', u'learning', u'local', u'system', u'bound', u'margin', u'coordinates', u'using', u'global', u'given']",[2],4
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Gaussian process regression with Student-t likelihood,Copula Processes,1,1,3806,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",MCMC for continuous-time discrete-state systems,Approximate inference in latent Gaussian-Markov models from continuous time observations,1,1,4746,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2008-2011,"algorithm, data, function, learning, regularization, privacy, batch, set, experiments, performance",A reinterpretation of the policy oscillation phenomenon in approximate policy iteration,Optimistic policy iteration and natural actor-critic: A unifying view and a non-optimality result,1,1,4274,"algorithm', u'data', u'function', u'learning', u'regularization', u'privacy', u'batch', u'set', u'experiments', u'performance']",[1],6
2011-2014,"points, set, point, nearest, neighbor, learning, convergence, dimension, distribution, theorem",A reinterpretation of the policy oscillation phenomenon in approximate policy iteration,Optimistic policy iteration and natural actor-critic: A unifying view and a non-optimality result,1,1,4274,"points', u'set', u'point', u'nearest', u'neighbor', u'learning', u'convergence', u'dimension', u'distribution', u'theorem']",[0],6
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Heterogeneous multitask learning with joint sparsity constraints,Multi-Stage Multi-Task Feature Learning,1,1,3706,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
1999-2002,"support, one, data, training, kernel, vector, svm, set, error, model",One Microphone Source Separation,Source Separation with a Sensor Array using Graphical Models and Subband Filtering,1,1,1885,"support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
2014-2017,"bound, optimization, function, algorithm, imgpo, regret, ucb, global, max, interval",Asynchronous Parallel Stochastic Gradient for Nonconvex Optimization,The Sound of APALM Clapping: Faster Nonsmooth Nonconvex Optimization with Stochastic Asynchronous PALM,1,1,5751,"bound', u'optimization', u'function', u'algorithm', u'imgpo', u'regret', u'ucb', u'global', u'max', u'interval']",[4],4
1999-2002,"classifier, problem, set, training, algorithm, rate, kernel, one, svm, learning",Sparse Representation for Gaussian Process Models,Incremental and Decremental Support Vector Machine Learning,1,1,1893,"classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1996-1999,"state, learning, policy, maxq, abstraction, subtask, taxi, action, actions, passenger",State Abstraction in MAXQ Hierarchical Reinforcement Learning,Automated State Abstraction for Options using the U-Tree Algorithm,1,1,1770,"state', u'learning', u'policy', u'maxq', u'abstraction', u'subtask', u'taxi', u'action', u'actions', u'passenger']",[4],9
1999-2002,"function, clustering, state, distance, one, clusters, algorithm, cluster, points, eigenvectors",State Abstraction in MAXQ Hierarchical Reinforcement Learning,Automated State Abstraction for Options using the U-Tree Algorithm,1,1,1770,"function', u'clustering', u'state', u'distance', u'one', u'clusters', u'algorithm', u'cluster', u'points', u'eigenvectors']","[2, 3]",9
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Learning Multiple Tasks with a Sparse Matrix-Normal Penalty,Simultaneously Leveraging Output and Task Structures for Multiple-Output Regression,1,1,4095,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Active Classification based on Value of Classifier,Timely Object Recognition,1,1,4340,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2011-2014,"decision, model, effects, rankings, models, feature, decisions, utility, preference, participants",Active Classification based on Value of Classifier,Timely Object Recognition,1,1,4340,"decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
1990-1993,"sub, managers, level, learning, manager, system, tasks, task, state, reinforcement",Feudal Reinforcement Learning,The Parti-Game Algorithm for Variable Resolution Reinforcement Learning in Multidimensional State-Spaces,1,1,714,"sub', u'managers', u'level', u'learning', u'manager', u'system', u'tasks', u'task', u'state', u'reinforcement']",[8],7
1990-1993,"network, learning, time, unit, output, pattern, information, units, temporal, patterns",Recognizing Overlapping Hand-Printed Characters by Centered-Object Integrated Segmentation and Recognition,Adaptive Elastic Input Field for Recognition Improvement,1,1,461,"network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Dynamical segmentation of single trials from population neural data,Robust learning of low-dimensional dynamics from large neural ensembles,1,1,4257,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Dynamical segmentation of single trials from population neural data,A framework for studying synaptic plasticity with neural spike train data,1,1,4257,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Dynamical segmentation of single trials from population neural data,High-dimensional neural spike train analysis with generalized count linear dynamical systems,1,1,4257,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2011-2014,"decision, model, effects, rankings, models, feature, decisions, utility, preference, participants",Dynamical segmentation of single trials from population neural data,Robust learning of low-dimensional dynamics from large neural ensembles,1,1,4257,"decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2011-2014,"decision, model, effects, rankings, models, feature, decisions, utility, preference, participants",Dynamical segmentation of single trials from population neural data,A framework for studying synaptic plasticity with neural spike train data,1,1,4257,"decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2011-2014,"decision, model, effects, rankings, models, feature, decisions, utility, preference, participants",Dynamical segmentation of single trials from population neural data,High-dimensional neural spike train analysis with generalized count linear dynamical systems,1,1,4257,"decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
1990-1993,"network, learning, time, unit, output, pattern, information, units, temporal, patterns",Adaptive Elastic Models for Hand-Printed Character Recognition,Adaptive Elastic Input Field for Recognition Improvement,1,1,533,"network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
1987-1990,"cart, mlp, training, data, trained, power, classification, set, performance, problem",Performance Comparisons Between Backpropagation Networks and Classification Trees on Three Real-World Applications,Recurrent Networks and NARMA Modeling,1,1,203,"cart', u'mlp', u'training', u'data', u'trained', u'power', u'classification', u'set', u'performance', u'problem']",[3],3
2008-2011,"hash, hashing, data, function, results, objective, one, functions, neighbors, method",Locality-sensitive binary codes from shift-invariant kernels,PiCoDes: Learning a Compact Code for Novel-Category Recognition,1,1,3749,"hash', u'hashing', u'data', u'function', u'results', u'objective', u'one', u'functions', u'neighbors', u'method']",[8],0
2008-2011,"hash, hashing, data, function, results, objective, one, functions, neighbors, method",Locality-sensitive binary codes from shift-invariant kernels,Co-Regularized Hashing for Multimodal Data,1,1,3749,"hash', u'hashing', u'data', u'function', u'results', u'objective', u'one', u'functions', u'neighbors', u'method']",[8],0
2008-2011,"hash, hashing, data, function, results, objective, one, functions, neighbors, method",Locality-sensitive binary codes from shift-invariant kernels,Hamming Distance Metric Learning,1,1,3749,"hash', u'hashing', u'data', u'function', u'results', u'objective', u'one', u'functions', u'neighbors', u'method']",[8],0
2008-2011,"hash, hashing, data, function, results, objective, one, functions, neighbors, method",Locality-sensitive binary codes from shift-invariant kernels,Isotropic Hashing,1,1,3749,"hash', u'hashing', u'data', u'function', u'results', u'objective', u'one', u'functions', u'neighbors', u'method']",[8],0
2008-2011,"hash, hashing, data, function, results, objective, one, functions, neighbors, method",Locality-sensitive binary codes from shift-invariant kernels,The Power of Asymmetry in Binary Hashing,1,1,3749,"hash', u'hashing', u'data', u'function', u'results', u'objective', u'one', u'functions', u'neighbors', u'method']",[8],0
2008-2011,"hash, hashing, data, function, results, objective, one, functions, neighbors, method",Locality-sensitive binary codes from shift-invariant kernels,A Probabilistic Framework for Multimodal Retrieval using Integrative Indian Buffet Process,1,1,3749,"hash', u'hashing', u'data', u'function', u'results', u'objective', u'one', u'functions', u'neighbors', u'method']",[8],0
1996-1999,"data, model, algorithm, learning, matrix, space, function, risk, gaussian, binary",Transductive Inference for Estimating Values of Functions,On Transductive Regression,1,1,1699,"data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
1999-2002,"classifier, problem, set, training, algorithm, rate, kernel, one, svm, learning",Transductive Inference for Estimating Values of Functions,On Transductive Regression,1,1,1699,"classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
2008-2011,"topic, document, model, words, topics, models, stm, tree, syntactic, word",Reading Tea Leaves: How Humans Interpret Topic Models,A Neural Autoregressive Topic Model,1,1,3700,"topic', u'document', u'model', u'words', u'topics', u'models', u'stm', u'tree', u'syntactic', u'word']",[0],7
2005-2008,"objects, relations, concept, set, algorithm, sense, images, image, model, words",Unsupervised Learning of Visual Sense Models for Polysemous Words,Filtering Abstract Senses From Image Search Results,1,1,3389,"objects', u'relations', u'concept', u'set', u'algorithm', u'sense', u'images', u'image', u'model', u'words']","[0, 9]",5
2008-2011,"image, images, object, visual, concept, content, objects, class, set, face",Unsupervised Learning of Visual Sense Models for Polysemous Words,Filtering Abstract Senses From Image Search Results,1,1,3389,"image', u'images', u'object', u'visual', u'concept', u'content', u'objects', u'class', u'set', u'face']",[7],5
2005-2008,"traffic, log, dimension, time, learning, policy, intersection, gradient, doubling, nac",Real-time adaptive information-theoretic optimization of neurophysiology experiments,Multivariate f-divergence Estimation With Confidence,1,1,3093,"traffic', u'log', u'dimension', u'time', u'learning', u'policy', u'intersection', u'gradient', u'doubling', u'nac']",[1],0
2005-2008,"traffic, log, dimension, time, learning, policy, intersection, gradient, doubling, nac",Real-time adaptive information-theoretic optimization of neurophysiology experiments,Finite-Sample Analysis of Fixed-k Nearest Neighbor Density Functional Estimators,1,1,3093,"traffic', u'log', u'dimension', u'time', u'learning', u'policy', u'intersection', u'gradient', u'doubling', u'nac']",[1],0
1990-1993,"policy, function, learning, based, algorithm, linear, lqr, state, control, system",Reinforcement Learning Applied to Linear Quadratic Regulation,Advantage Updating Applied to a Differential Game,1,1,712,"policy', u'function', u'learning', u'based', u'algorithm', u'linear', u'lqr', u'state', u'control', u'system']",[3],2
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",Flexible sampling of discrete data correlations without the marginal distributions,Dynamic Rank Factor Model for Text Streams,1,1,5044,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
1990-1993,"network, learning, time, unit, output, pattern, information, units, temporal, patterns","Fast, Robust Adaptive Control by Learning only Forward Models",Memory-based Stochastic Optimization,1,1,585,"network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Stable adaptive control with online learning,A Constraint Generation Approach to Learning Stable Linear Dynamical Systems,1,1,2623,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
1999-2002,"classifier, problem, set, training, algorithm, rate, kernel, one, svm, learning",Active Information Retrieval,Mean Field Approach to a Probabilistic Model in Information Retrieval,1,1,1954,"classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Variational bounds for mixed-data factor analysis,Infinite Latent SVM for Classification and Multi-task Learning,1,1,3947,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
