Level1,Level2,Level3,Level4,Total,Paper_ID,Top_Words1,Top_Topic1
1987-1990,5,Optimal Brain Damage,Neural Control for Rolling Mills: Incorporating Domain Theories to Overcome Data Deficiency,0.136,250,"neuron, neurons, synapse, analog, digital, chip, time, computer, synapses, input",8
1987-1990,5,Optimal Brain Damage,Automatic Learning Rate Maximization by On-Line Estimation of the Hessian's Eigenvectors,1.089,250,"neuron, neurons, synapse, analog, digital, chip, time, computer, synapses, input",8
1987-1990,5,Optimal Brain Damage,Extended Regularization Methods for Nonconvergent Model Selection,0.864,250,"neuron, neurons, synapse, analog, digital, chip, time, computer, synapses, input",8
1987-1990,5,Optimal Brain Damage,Second order derivatives for network pruning: Optimal Brain Surgeon,0.088,250,"neuron, neurons, synapse, analog, digital, chip, time, computer, synapses, input",8
1987-1990,5,Optimal Brain Damage,Optimal Brain Surgeon: Extensions and performance comparisons,0.25,250,"neuron, neurons, synapse, analog, digital, chip, time, computer, synapses, input",8
1987-1990,5,Optimal Brain Damage,Constructive Learning Using Internal Representation Conflicts,0.116,250,"neuron, neurons, synapse, analog, digital, chip, time, computer, synapses, input",8
1987-1990,5,Optimal Brain Damage,Recurrent Networks: Second Order Properties and Pruning,1.895,250,"neuron, neurons, synapse, analog, digital, chip, time, computer, synapses, input",8
2005-2008,6,Sequential effects: Superstition or rational behavior?,Sequential effects reflect parallel learning of multiple environmental regularities,0.062,3519,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,6,Sequential effects: Superstition or rational behavior?,A rational decision making framework for inhibitory control,8.457,3519,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,6,Sequential effects: Superstition or rational behavior?,Context-sensitive active sensing in humans,0.117,3519,"model, data, learning, models, figure, two, image, distribution, images, one",4
2008-2011,7,Sequential effects: Superstition or rational behavior?,Sequential effects reflect parallel learning of multiple environmental regularities,0.245,3519,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,7,Sequential effects: Superstition or rational behavior?,A rational decision making framework for inhibitory control,0.481,3519,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,7,Sequential effects: Superstition or rational behavior?,Context-sensitive active sensing in humans,0.42,3519,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2005-2008,8,Bayesian Agglomerative Clustering with Coalescents,The Infinite Hierarchical Factor Regression Model,0.312,3266,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,9,Gates,An Incremental Nearest Neighbor Algorithm with Queries,0.126,3379,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,9,Gates,Modelling Seasonality and Trends in Daily Rainfall Data,1.46,3379,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,9,Gates,Breaking SVM Complexity with Cross-Training,3.292,3379,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,9,Gates,Localizing Bugs in Program Executions with Graphical Models,0.194,3379,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,9,Gates,Neuromorphic Networks Based on Sparse Optical Orthogonal Codes,6.721,3379,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,9,Gates,Learning to Pass Expectation Propagation Messages,3.456,3379,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,9,Gates,Neural Computing with Small Weights,0.142,3379,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,9,Gates,Near-optimal sample compression for nearest neighbors,2.917,3379,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,9,Gates,Computing with Almost Optimal Size Neural Networks,0.189,3379,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,9,Gates,Algorithmic Stability and Uniform Generalization,0.08,3379,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,9,Gates,Optimal Depth Neural Networks for Multiplication and Related Problems,0.126,3379,"model, data, learning, models, figure, two, image, distribution, images, one",4
2008-2011,10,Gates,An Incremental Nearest Neighbor Algorithm with Queries,0.25,3379,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,10,Gates,Modelling Seasonality and Trends in Daily Rainfall Data,0.2,3379,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,10,Gates,Breaking SVM Complexity with Cross-Training,0.929,3379,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,10,Gates,Localizing Bugs in Program Executions with Graphical Models,2.916,3379,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,10,Gates,Neuromorphic Networks Based on Sparse Optical Orthogonal Codes,0.246,3379,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,10,Gates,Learning to Pass Expectation Propagation Messages,0.986,3379,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,10,Gates,Neural Computing with Small Weights,0.182,3379,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,10,Gates,Near-optimal sample compression for nearest neighbors,0.506,3379,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,10,Gates,Computing with Almost Optimal Size Neural Networks,0.201,3379,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,10,Gates,Algorithmic Stability and Uniform Generalization,0.15,3379,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,10,Gates,Optimal Depth Neural Networks for Multiplication and Related Problems,1.424,3379,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
1999-2002,11,Hyperkernels,Computing regularization paths for learning multiple kernels,6.406,2193,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,11,Hyperkernels,A General and Efficient Multiple Kernel Learning Algorithm,0.133,2193,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,11,Hyperkernels,Combining Graph Laplacians for Semi--Supervised Learning,1.992,2193,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,11,Hyperkernels,Gaussian and Wishart Hyperkernels,0.17,2193,"data, set, one, training, model, problem, function, figure, two, linear",5
2002-2005,12,Hyperkernels,Computing regularization paths for learning multiple kernels,0.11,2193,"data, model, distance, latent, kernel, model, data, means, learning, training",7
2002-2005,12,Hyperkernels,A General and Efficient Multiple Kernel Learning Algorithm,0.151,2193,"data, model, distance, latent, kernel, model, data, means, learning, training",7
2002-2005,12,Hyperkernels,Combining Graph Laplacians for Semi--Supervised Learning,0.11,2193,"data, model, distance, latent, kernel, model, data, means, learning, training",7
2002-2005,12,Hyperkernels,Gaussian and Wishart Hyperkernels,0.073,2193,"data, model, distance, latent, kernel, model, data, means, learning, training",7
2005-2008,13,Linearly-solvable Markov decision problems,Compositionality of optimal control laws,0.086,3002,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,13,Linearly-solvable Markov decision problems,Policy gradients in linearly-solvable MDPs,0.102,3002,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,13,Linearly-solvable Markov decision problems,Optimal Reinforcement Learning for Gaussian Systems,2.9,3002,"model, data, learning, models, figure, two, image, distribution, images, one",4
2002-2005,0,Learning from Data of Variable Quality,Domain Adaptation with Multiple Sources,46.4,2920,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2005-2008,1,Learning from Data of Variable Quality,Domain Adaptation with Multiple Sources,11.8,2920,"model, data, learning, models, figure, two, image, distribution, images, one",4
1993-1996,2,Nonlinear Image Interpolation using Manifold Learning,Example-Based Image Synthesis of Articulated Figures,69.4,879,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
2002-2005,3,A matching pursuit approach to sparse Gaussian process regression,Variational Mixture of Gaussian Process Experts,4.7,2862,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2005-2008,4,A matching pursuit approach to sparse Gaussian process regression,Variational Mixture of Gaussian Process Experts,0,2862,"model, data, learning, models, figure, two, image, distribution, images, one",4
2002-2005,5,Metric Learning by Collapsing Classes,Online Metric Learning and Fast Similarity Search,3.8,2947,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,5,Metric Learning by Collapsing Classes,An Online Algorithm for Large Scale Image Similarity Learning,12.9,2947,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,5,Metric Learning by Collapsing Classes,Similarity Component Analysis,75.5,2947,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2005-2008,6,Metric Learning by Collapsing Classes,Online Metric Learning and Fast Similarity Search,4.2,2947,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,6,Metric Learning by Collapsing Classes,An Online Algorithm for Large Scale Image Similarity Learning,0,2947,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,6,Metric Learning by Collapsing Classes,Similarity Component Analysis,2.1,2947,"model, data, learning, models, figure, two, image, distribution, images, one",4
2008-2011,7,Reconstruction of Sparse Circuits Using Multi-neuronal Excitation (RESCUME),Bayesian Inference and Online Experimental Design for Mapping Neural Microcircuits,0.9,3772,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
1993-1996,8,An experimental comparison of recurrent neural networks,Learning long-term dependencies is not as difficult with NARX networks,8.1,1009,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
2011-2014,9,Reducing statistical time-series problems to binary classification,Locating Changes in Highly Dependent Data with Unknown Number of Change Points,0.6,4510,"training, learning, network, networks, neural, using, set, data, model, layer",4
1987-1990,10,Performance of a Stochastic Learning Microchip,Experimental Evaluation of Learning in a Neural Microsystem,0,159,"neuron, neurons, synapse, analog, digital, chip, time, computer, synapses, input",8
1996-1999,11,Ensemble Learning for Multi-Layer Networks,Affine Independent Variational Inference,0.4,1480,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
2005-2008,12,Learning from Multiple Sources,Multi-Label Prediction via Sparse Infinite CCA,11.6,2972,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,12,Learning from Multiple Sources,Graph-based Consensus Maximization among Multiple Supervised and Unsupervised Models,39,2972,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,12,Learning from Multiple Sources,Predictive Subspace Learning for Multi-view Data: a Large Margin Approach,9.5,2972,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,12,Learning from Multiple Sources,Generalization Bounds for Domain Adaptation,10.4,2972,"model, data, learning, models, figure, two, image, distribution, images, one",4
2008-2011,13,From Bandits to Experts: On the Value of Side-Observations,Explore no more: Improved high-probability regret bounds for non-stochastic bandits,2.3,4366,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2011-2014,0,From Bandits to Experts: On the Value of Side-Observations,Explore no more: Improved high-probability regret bounds for non-stochastic bandits,0.103,4366,"training, learning, network, networks, neural, using, set, data, model, layer",4
1987-1990,1,Towards an Organizing Principle for a Layered Perceptual Network,Kernelized Infomax Clustering,1.258,5,"neuron, neurons, synapse, analog, digital, chip, time, computer, synapses, input",8
1990-1993,2,Practical Issues in Temporal Difference Learning,Stable LInear Approximations to Dynamic Programming for Stochastic Control Problems with Local Transitions,0.085,465,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
1990-1993,2,Practical Issues in Temporal Difference Learning,Improving Elevator Performance Using Reinforcement Learning,0.303,465,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
1990-1993,2,Practical Issues in Temporal Difference Learning,Multidimensional Triangulation and Interpolation for Reinforcement Learning,0.109,465,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
1990-1993,2,Practical Issues in Temporal Difference Learning,Memory-Based Reinforcement Learning: Efficient Computation with Prioritized Sweeping,0.057,465,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
1990-1993,2,Practical Issues in Temporal Difference Learning,Monte Carlo Matrix Inversion and Reinforcement Learning,0.08,465,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
2005-2008,3,A learning framework for nearest neighbor search,Learning to Prune in Metric and Non-Metric Spaces,0.08,3357,"model, data, learning, models, figure, two, image, distribution, images, one",4
1996-1999,4,Extended ICA Removes Artifacts from Electroencephalographic Recordings,Recognizing Evoked Potentials in a Virtual Environment,0.13,1343,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
1996-1999,5,A Neuromorphic Monaural Sound Localizer,Gradient Flow Independent Component Analysis in Micropower VLSI,0.109,1489,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
2005-2008,6,Multi-stage Convex Relaxation for Learning with Sparse Regularization,Identifying Alzheimer's Disease-Related Brain Regions from Multi-Modality Neuroimaging Data using Sparse Composite Linear Discrimination Analysis,0.081,3526,"model, data, learning, models, figure, two, image, distribution, images, one",4
2008-2011,7,Multi-stage Convex Relaxation for Learning with Sparse Regularization,Identifying Alzheimer's Disease-Related Brain Regions from Multi-Modality Neuroimaging Data using Sparse Composite Linear Discrimination Analysis,0.524,3526,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2005-2008,8,A neural network implementing optimal state estimation based on dynamic spike train decoding,Analytical Results for the Error in Filtering of Gaussian Processes,0.182,3299,"model, data, learning, models, figure, two, image, distribution, images, one",4
2008-2011,9,The Fixed Points of Off-Policy TD,Regularized Off-Policy TD-Learning,0.13,4244,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2011-2014,10,The Fixed Points of Off-Policy TD,Regularized Off-Policy TD-Learning,0.138,4244,"training, learning, network, networks, neural, using, set, data, model, layer",4
2008-2011,11,Learning from Candidate Labeling Sets,A Conditional Multinomial Mixture Model for Superset Label Learning,0.426,4041,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
1996-1999,12,The Relevance Vector Machine,Sparse Kernel Principal Component Analysis,0.122,1719,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
1996-1999,12,The Relevance Vector Machine,Sparse Representation for Gaussian Process Models,0.092,1719,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
1996-1999,12,The Relevance Vector Machine,Analysis of Sparse Bayesian Learning,0.057,1719,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
1996-1999,12,The Relevance Vector Machine,Boosted Dyadic Kernel Discriminants,0.053,1719,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
1999-2002,13,The Relevance Vector Machine,Sparse Kernel Principal Component Analysis,0.144,1719,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,13,The Relevance Vector Machine,Sparse Representation for Gaussian Process Models,0.952,1719,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,13,The Relevance Vector Machine,Analysis of Sparse Bayesian Learning,0.159,1719,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,13,The Relevance Vector Machine,Boosted Dyadic Kernel Discriminants,0.079,1719,"data, set, one, training, model, problem, function, figure, two, linear",5
2008-2011,0,Ensemble Nystrom Method,Less is More: Nystr?m Computational Regularization,0.125,3850,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
1987-1990,1,Heterogeneous Neural Networks for Adaptive Behavior in Dynamic Environments,Neural Implementation of Motivated Behavior: Feeding in an Artificial Insect,0.092,115,"neuron, neurons, synapse, analog, digital, chip, time, computer, synapses, input",8
2014-2017,2,Deep Convolutional Inverse Graphics Network,"Attend, Infer, Repeat: Fast Scene Understanding with Generative Models",0.58,5851,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
2011-2014,3,Rates of Convergence for Nearest Neighbor Classification,Near-optimal sample compression for nearest neighbors,0.61,5439,"training, learning, network, networks, neural, using, set, data, model, layer",4
2014-2017,4,Rates of Convergence for Nearest Neighbor Classification,Near-optimal sample compression for nearest neighbors,0.331,5439,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
2014-2017,5,Convolutional Networks on Graphs for Learning Molecular Fingerprints,Protein contact prediction from amino acid co-evolution using convolutional networks for graph-valued images,0.349,5954,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
2005-2008,6,Modeling image patches with a directed hierarchy of Markov random fields,The Recurrent Temporal Restricted Boltzmann Machine,0.075,3279,"model, data, learning, models, figure, two, image, distribution, images, one",4
1990-1993,7,Supervised learning from incomplete data via an EM approach,Reconstruction of Sequential Data with Probabilistic Models and Continuity Constraints,0.11,767,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
1990-1993,7,Supervised learning from incomplete data via an EM approach,An Alternative Infinite Mixture Of Gaussian Process Experts,0.097,767,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
1990-1993,7,Supervised learning from incomplete data via an EM approach,Max-margin classification of incomplete data,0.125,767,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
1990-1993,7,Supervised learning from incomplete data via an EM approach,Estimating Jaccard Index with Missing Observations: A Matrix Calibration Approach,2.225,767,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
1993-1996,8,Supervised learning from incomplete data via an EM approach,Reconstruction of Sequential Data with Probabilistic Models and Continuity Constraints,5.036,767,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
1993-1996,8,Supervised learning from incomplete data via an EM approach,An Alternative Infinite Mixture Of Gaussian Process Experts,4.365,767,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
1993-1996,8,Supervised learning from incomplete data via an EM approach,Max-margin classification of incomplete data,0.352,767,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
1993-1996,8,Supervised learning from incomplete data via an EM approach,Estimating Jaccard Index with Missing Observations: A Matrix Calibration Approach,0.31,767,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
2008-2011,9,Static Analysis of Binary Executables Using Structural SVMs,Structured Learning for Cell Tracking,0.154,3925,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
1999-2002,10,Fractional Belief Propagation,Approximate inference in latent Gaussian-Markov models from continuous time observations,0.059,2339,"data, set, one, training, model, problem, function, figure, two, linear",5
2002-2005,11,Fractional Belief Propagation,Approximate inference in latent Gaussian-Markov models from continuous time observations,0.067,2339,"data, model, distance, latent, kernel, model, data, means, learning, training",7
2011-2014,12,Continuous Relaxations for Discrete Hamiltonian Monte Carlo,Auxiliary-variable Exact Hamiltonian Monte Carlo Samplers for Binary Distributions,0.082,4652,"training, learning, network, networks, neural, using, set, data, model, layer",4
2008-2011,13,Zero-shot Learning with Semantic Output Codes,Zero-shot recognition with unreliable attributes,0.314,3650,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
1993-1996,0,GTM: A Principled Alternative to the Self-Organizing Map,Limitations of Self-organizing Maps for Vector Quantization and Multidimensional Scaling,0.824,1207,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
1996-1999,1,GTM: A Principled Alternative to the Self-Organizing Map,Limitations of Self-organizing Maps for Vector Quantization and Multidimensional Scaling,0.333,1207,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
2005-2008,2,Multi-Task Feature Learning,Supervised Dictionary Learning,0.1,3143,"model, data, learning, models, figure, two, image, distribution, images, one",4
1990-1993,3,Efficient Pattern Recognition Using a New Transformation Distance,Nonlinear Image Interpolation using Manifold Learning,31.838,656,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
1990-1993,3,Efficient Pattern Recognition Using a New Transformation Distance,Adaptive Elastic Input Field for Recognition Improvement,31.838,656,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
2011-2014,4,Solving the multi-way matching problem by permutation synchronization,Permutation Diffusion Maps (PDM) with Application to the Image Association Problem in Computer Vision,41.5,4987,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,4,Solving the multi-way matching problem by permutation synchronization,Normalized Spectral Map Synchronization,3,4987,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,4,Solving the multi-way matching problem by permutation synchronization,On Valid Optimal Assignment Kernels and Applications to Graph Classification,25.5,4987,"training, learning, network, networks, neural, using, set, data, model, layer",4
1999-2002,5,Efficient Learning Equilibrium,New Criteria and a New Algorithm for Learning in Multi-Agent Systems,8.1,2147,"data, set, one, training, model, problem, function, figure, two, linear",5
2002-2005,6,Efficient Learning Equilibrium,New Criteria and a New Algorithm for Learning in Multi-Agent Systems,0.3,2147,"data, model, distance, latent, kernel, model, data, means, learning, training",7
2014-2017,7,Training Very Deep Networks,Tensor Switching Networks,0,5850,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
1999-2002,8,PAC-Bayes & Margins,Tighter PAC-Bayes Bounds,1.1,2317,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,8,PAC-Bayes & Margins,Dimensionality Dependent PAC-Bayes Margin Bound,3.6,2317,"data, set, one, training, model, problem, function, figure, two, linear",5
2002-2005,9,PAC-Bayes & Margins,Tighter PAC-Bayes Bounds,0.8,2317,"data, model, distance, latent, kernel, model, data, means, learning, training",7
2002-2005,9,PAC-Bayes & Margins,Dimensionality Dependent PAC-Bayes Margin Bound,0,2317,"data, model, distance, latent, kernel, model, data, means, learning, training",7
1993-1996,10,A model of transparent motion and non-transparent motion aftereffects,Distributional Population Codes and Multiple Motion Models,1.4,1025,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
2002-2005,11,AUC Optimization vs. Error Rate Minimization,Confidence Intervals for the Area Under the ROC Curve,1,2518,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,11,AUC Optimization vs. Error Rate Minimization,Reconciling Real Scores with Binary Comparisons: A New Logistic Based Model for Ranking,2.144,2518,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
1993-1996,12,An Input Output HMM Architecture,A Dynamic HMM for On-line Segmentation of Sequential Data,0.248,964,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
1993-1996,12,An Input Output HMM Architecture,Diffusion of Credit in Markovian Models,0.12,964,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
2008-2011,13,Tiled convolutional neural networks,ICA with Reconstruction Cost for Efficient Overcomplete Feature Learning,0.398,4136,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,13,Tiled convolutional neural networks,Deep Learning of Invariant Features via Simulated Fixations in Video,0.466,4136,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,13,Tiled convolutional neural networks,Noise-Enhanced Associative Memories,3.958,4136,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,0,Non-stationary continuous dynamic Bayesian networks,Inter-time segment information sharing for non-homogeneous dynamic Bayesian networks,0.098,3687,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2014-2017,1,Information-theoretic lower bounds for convex optimization with erroneous oracles,Algorithms and matching lower bounds for approximately-convex optimization,0.245,5841,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
2002-2005,2,Semi-Markov Conditional Random Fields for Information Extraction,Active Learning for Probabilistic Hypotheses Using the Maximum Gibbs Error Criterion,0.06,2648,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2008-2011,3,Multi-Label Prediction via Sparse Infinite CCA,Reverse Multi-Label Learning,0.126,3673,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,3,Multi-Label Prediction via Sparse Infinite CCA,Submodular Multi-Label Learning,0.224,3673,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,4,Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials,Algorithms for Learning Markov Field Policies,0,4296,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,4,Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials,Message Passing Inference for Large Scale Graphical Models with High Order Potentials,0.07,4296,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2011-2014,5,Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials,Algorithms for Learning Markov Field Policies,0.256,4296,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,5,Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials,Message Passing Inference for Large Scale Graphical Models with High Order Potentials,0.147,4296,"training, learning, network, networks, neural, using, set, data, model, layer",4
2008-2011,6,Stochastic convex optimization with bandit feedback,Finite Sample Convergence Rates of Zero-Order Stochastic Optimization Methods,0.816,4475,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,6,Stochastic convex optimization with bandit feedback,Bandit Smooth Convex Optimization: Improving the Bias-Variance Tradeoff,0.182,4475,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,6,Stochastic convex optimization with bandit feedback,Algorithms and matching lower bounds for approximately-convex optimization,0.071,4475,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2011-2014,7,Stochastic convex optimization with bandit feedback,Finite Sample Convergence Rates of Zero-Order Stochastic Optimization Methods,0.8,4475,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,7,Stochastic convex optimization with bandit feedback,Bandit Smooth Convex Optimization: Improving the Bias-Variance Tradeoff,4.271,4475,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,7,Stochastic convex optimization with bandit feedback,Algorithms and matching lower bounds for approximately-convex optimization,5,4475,"training, learning, network, networks, neural, using, set, data, model, layer",4
2008-2011,8,AUC optimization and the two-sample problem,A More Powerful Two-Sample Test in High Dimensions using Random Projection,2.921,3838,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2011-2014,9,Spectral methods for neural characterization using generalized quadratic models,Convolutional spike-triggered covariance analysis for neural subunit models,3.859,4993,"training, learning, network, networks, neural, using, set, data, model, layer",4
1990-1993,10,Threshold Network Learning in the Presence of Equivalences,Generalisation of A Class of Continuous Neural Networks,0.173,510,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
1987-1990,11,Recognizing Hand-Printed Letters and Digits,Simulation of the Neocognitron on a CCD Parallel Processing Architecture,0.545,267,"neuron, neurons, synapse, analog, digital, chip, time, computer, synapses, input",8
1990-1993,12,VISIT: A Neural Model of Covert Visual Attention,Selective Attention for Handwritten Digit Recognition,0.519,551,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
2008-2011,13,Sequence learning with hidden units in spiking neural networks,Homeostatic plasticity in Bayesian spiking networks as Expectation Maximization with posterior constraints,17.093,4383,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,13,Sequence learning with hidden units in spiking neural networks,Learning visual motion in recurrent neural networks,1.515,4383,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,13,Sequence learning with hidden units in spiking neural networks,Synaptic Sampling: A Bayesian Approach to Neural Network Plasticity and Rewiring,0.139,4383,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2011-2014,0,Sequence learning with hidden units in spiking neural networks,Homeostatic plasticity in Bayesian spiking networks as Expectation Maximization with posterior constraints,0.11,4383,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,0,Sequence learning with hidden units in spiking neural networks,Learning visual motion in recurrent neural networks,0.755,4383,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,0,Sequence learning with hidden units in spiking neural networks,Synaptic Sampling: A Bayesian Approach to Neural Network Plasticity and Rewiring,1.141,4383,"training, learning, network, networks, neural, using, set, data, model, layer",4
1996-1999,1,Regularisation in Sequential Learning Algorithms,Adaptive Classification by Variational Kalman Filtering,0.092,1464,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
1999-2002,2,Categorization by Learning and Combining Object Parts,Discriminating Deformable Shape Classes,0.268,2109,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,3,Generalized Belief Propagation,High-temperature Expansions for Learning Models of Nonnegative Data,0.065,1832,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,3,Generalized Belief Propagation,Active Information Retrieval,0.102,1832,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,3,Generalized Belief Propagation,"TAP Gibbs Free Energy, Belief Propagation and Sparsity",0.388,1832,"data, set, one, training, model, problem, function, figure, two, linear",5
